HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5000828,NF,A0A,E,2022-08-01,2022,Single Detached,290.8,One storey,2001,B1;B2;B3,1.0,2.0603,9340.9,9.341,36074.2,10020.7,79561.1,22100.5,10020.6,0.0,0.0,0.0,0.0,207599996,Air,,10090.0,T,10.02,3.22,1.98,,,81.0,,,,Central split system,2.44,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,Yes,DAIKIN,DZ17VSA421B*,DV47FECD14A*,34200,25200,,,10,17,No,10.023,,1.073,
7181746,NF,A1K,E,2022-08-01,2022,Single Detached,371.1,Two storeys,2010,B1;P1,1.0,3.5858,14412.8,14.413,50482.0,14022.9,95464.4,26518.1,14022.9,0.0,0.0,0.0,0.0,207599997,Air,,16000.0,T,9.5,3.37,2.1,,,72.0,,,ESTAR,Central split system,2.43,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,DAIKIN,DZ17VSA601B*,DV59FECD14A*,45000,34400,,,10,16,No,13.188,,0.915,
1958334,NF,A1K,E,2022-08-01,2022,Single Detached,89.7,Two storeys,1893,,1.0,11.5008,8218.4,8.218,23549.5,6541.6,66533.3,18481.6,6541.4,0.0,0.0,0.0,0.0,8033586,Air,,14550.0,T,7.33,3.07,2.09,,,102.0,,,,Mini-split ductless,3.6,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,FUJITSU,AOU24RLXFZH,,24000,15400,25600,2.06,10,20,Yes,7.034,7.503,0.856,0.913
1890841,NF,A1N,E,2021-12-01,2021,Single Detached,178.7,One storey,1990,B1,1.0,2.6841,7639.1,7.639,23300.1,6472.3,66861.4,18572.8,6472.3,0.0,0.0,0.0,0.0,205663354,Air,,12390.0,T,5.54,3.45,2.12,,,100.0,,,,Mini-split ductless,3.23,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,DAIKIN,2MXL18QMVJU*,,18000,11400,,,10.3,17,No,5.275,,0.691,
17552746,NF,A0A,E,2022-08-01,2022,Single Detached,265.2,Two storeys,2000,B1,1.0,2.2289,9444.4,9.444,29162.7,8100.8,77563.5,21545.6,8100.9,0.0,218.1,0.0,0.0,201851577,Air,,14130.0,T,7.03,3.54,2.17,,,90.0,,,,Mini-split ductless,3.15,Heater w/ flame ret. head,Oil,,,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.745,
5016454,NF,A1N,E,2022-08-01,2022,Single Detached,231.0,One storey,1982,B1;P1,1.0,3.8474,10711.6,10.712,34252.3,9514.6,84767.3,23546.7,9514.5,0.0,0.0,1794.5,0.0,205663367,Air,,13790.2,T,6.02,3.33,2.02,,,85.0,,,ESTAR,Mini-split ductless,2.99,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,3MXL24RMVJU*,,24000,15200,,,10.35,16,No,7.034,,0.657,
6744746,NF,A1A,E,2022-09-01,2022,Single Detached,245.5,Two storeys,2021,B1;P1,1.0,1.63,6366.9,6.367,17071.9,4742.2,60026.5,16674.2,4742.3,0.0,0.0,0.0,0.0,10445376,Air,,17239.9,T,8.38,3.33,2.16,,,100.0,,,ESTAR,Mini-split ductless,3.14,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,LG,LMU300HHV,,28600,18900,24000,1.85,9.8,20,Yes,8.382,7.034,1.316,1.105
5004520,NF,A1A,E,2022-06-01,2022,Single Detached,264.4,Two storeys,1989,B1;P1,1.0,4.2972,10908.9,10.909,32906.2,9140.7,77339.5,21483.4,9140.6,0.0,0.0,0.0,0.0,201851577,Air,,14126.9,T,7.03,3.54,2.17,,,90.0,,,,Mini-split ductless,3.15,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.645,
5012054,NF,A1K,E,2022-08-01,2022,Single Detached,211.6,Split level,1978,B1;B2;P1;P2,1.0,7.5854,12820.7,12.821,39312.1,10920.1,81820.4,22728.1,10920.1,0.0,0.0,0.0,0.0,205663358,Air,,14130.0,T,7.03,3.54,2.17,,,90.0,,,ESTAR,Mini-split ductless,3.15,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Mixed Wood,Yes,DAIKIN,3MXL24RMVJU*,,24000,15500,,,12.5,18,No,7.034,,0.549,
19626746,NF,A1H,E,2022-08-01,2022,Single Detached,273.7,Two storeys,2010,B1,1.0,2.1861,8553.1,8.553,22349.9,6208.4,72694.0,20192.9,6208.4,1794.5,0.0,0.0,0.0,201851577,Air,,21840.0,T,7.03,4.09,2.17,,,90.0,,,ESTAR,Mini-split ductless,3.3,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with pilot (sealed),Natural Gas,Yes,DAIKIN,3MXL24RMVJU,,24000,15500,,,12.5,18,No,7.034,,0.822,
5007883,NF,A1W,E,2022-09-01,2022,Single Detached,198.1,Split entry/Raised base.,1986,B1;P1,1.0,2.5065,6258.6,6.259,14523.3,4034.3,57287.0,15913.2,4034.2,0.0,0.0,0.0,0.0,205663354,Air,,12384.6,T,5.55,4.14,2.12,,,100.0,,,ESTAR,Mini-split ductless,3.23,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fan heater units,Electricity,Yes,DAIKIN,2MXL18QMVJU*,,18000,11400,,,10.3,17,No,5.275,,0.843,
5000158,NF,A0A,E,2022-08-01,2022,Single Detached,176.9,One storey,1998,B1;P1,1.0,4.7093,7745.9,7.746,22122.4,6145.2,65713.7,18254.0,6145.0,0.0,0.0,0.0,0.0,206799410,Air,,13511.2,T,7.03,3.69,2.1,,,100.0,,,ESTAR,Central split system,3.41,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,GE Appliances,AUH2436ZGDA*,UUY24ZGDAB*,24000,20000,22000,1.80,9,17,Yes,7.034,6.448,0.908,0.832
