HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5382837,SK,S6X,E,2024-09-01,2024,Single Detached,251.6,Split entry/Raised base.,2002,B1;P1,1,1.3723,9896.1,9.896,19868.0,5518.9,101348.5,28152.6,5518.9,8597.6,0.0,0.0,0.0,212544102,Air,,7644.2,T,6.56,3.67,2.1,,,107.0,,,,Central split system,3.41,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,TRANE,4TXD2036A10NU**,"H,TG34936",24000,15800,21200,1.80,8.5,15.2,No,7.034,6.213,0.711,0.628
5385712,SK,S7W,E,2024-07-01,2024,Single Detached,257.0,Two storeys,2015,B1,1,2.3411,13372.3,13.372,29454.2,8181.8,98292.2,27303.6,8181.7,4377.3,0.0,0.0,0.0,213153601,Air,,14353.2,T,6.56,3.35,1.86,,,98.0,,,,Central split system,3.41,Condensing furnace,Natural Gas,,,Yes,NAPOLEON,WSEHV2436RA1-N,HG34936+TD,24000,14000,21200,1.80,8.5,15.2,No,7.034,6.213,0.526,0.465
5391732,SK,S0K,E,2024-07-01,2024,Single Detached,286.7,Two storeys,1998,B1,1,2.5773,15395.1,15.395,34857.5,9682.7,116051.2,32236.7,9682.6,7950.3,0.0,0.0,0.0,212361761,Air,,21121.9,T,11.43,3.94,2.0,,,82.0,,,,Central split system,2.34,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,MOOVAIR,DMA36HOS20230E7,CUB36HAC20CWT7A,39000,33000,32000,2.00,10,15.2,Yes,11.43,9.378,0.742,0.609
5396878,SK,S0G,E,2024-08-01,2024,Single Detached,184.2,Two storeys,2014,B1,1,1.818,5480.6,5.481,29020.1,8061.2,99793.6,27720.7,8061.2,3480.6,0.0,0.0,0.0,212396767,Air,,19681.2,T,9.5,2.99,1.83,,,92.0,,,,Central split system,2.85,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,,,,,,,,,,,,,,
5228746,SK,S7N,E,2024-09-01,2024,Single Detached,222.6,Two and a half,1937,B1;C1;F1,1,2.8542,32422.5,32.422,83259.9,23127.9,181047.3,50291.3,23128.0,14884.0,0.0,0.0,0.0,207349374,Air,,22143.6,T,14.21,2.94,1.81,,,70.0,,,,Mini-split ductless,2.97,Condensing heater,Natural Gas,Wood fireplace,Mixed Wood,Yes,SAMSUNG,AJ048BXJ5CH,,47000,28400,31400,1.75,9,21,No,13.774,9.202,0.425,0.284
5404503,SK,S4V,E,2024-09-01,2024,Single Detached,414.7,Two storeys,2010,B1,1,0.8356,13829.7,13.83,20337.0,5649.2,114655.7,31849.1,5649.2,13606.5,0.0,0.0,0.0,213160482,Air,,10887.0,T,9.67,3.25,1.85,,,81.0,,,,Central split system,2.76,Condensing furnace,Natural Gas,Same as Type 1 heating system,Natural Gas,Yes,Dettson,EVD-30-O,MAC36H2124E,33000,22600,27000,1.85,9.7,15.5,Yes,9.671,7.913,0.699,0.572
5407483,SK,S0A,E,2024-09-01,2024,Single Detached,650.2,Three storeys,1904,B1;C1;C2;F1;F2,1,4.0913,63008.3,63.008,98966.1,27490.8,391047.9,108625.3,27490.8,67642.8,0.0,0.0,0.0,212361354,Air,,20341.5,T,9.96,3.03,1.8,,,70.0,,,,Central split system,2.76,Condensing furnace,Natural Gas,Same as Type 1 heating system,Natural Gas,Yes,TRANE,4TXD2036A10NU**,4RXCB036AS3HC**,36000,23200,26000,1.80,8.5,15.2,No,10.551,7.62,0.167,0.121
5407485,SK,S4N,E,2024-11-01,2024,Single Detached,229.1,Two storeys,2005,B1,1,1.2101,12941.5,12.942,19992.7,5553.6,102786.6,28552.1,5553.7,6945.3,0.0,0.0,0.0,212396767,Air,,9495.5,T,9.5,3.412,1.83,,,92.0,,,ESTAR,Central split system,3.498,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,,,,,,,,,,,,,,
5226658,SK,S7H,E,2024-10-01,2024,Single Detached,285.0,Two storeys,1977,B1;B2,1,2.7983,20329.6,20.33,38144.8,10595.9,117938.3,32760.9,10595.9,8957.6,0.0,0.0,0.0,210426579,Air,,24594.2,T,11.72,4.58,1.96,,,92.0,,,ESTAR,Central split system,2.42,Condensing heater,Natural Gas,Wood fireplace,Mixed Wood,Yes,SENVILLE,SENDC-36HF-OM,SENDC-36HF-IM,40000,30400,34400,1.97,9.5,16,Yes,11.723,10.082,0.577,0.496
5417020,SK,S7L,E,2024-10-01,2024,Single Detached,155.6,One and a half,1912,B1;B2,1,8.0699,17296.7,17.297,25903.1,7195.4,117350.4,32597.6,7195.3,13299.6,0.0,0.0,0.0,212361758,Air,,13141.9,T,5.57,3.69,2.2,,,78.0,,,,Central split system,3.07,Condensing furnace,Natural Gas,,,Yes,MOOVAIR,DMA18HOS20230E7,CUB24HAC20BWT7A,19000,14700,15000,2.20,9.5,16.1,Yes,5.568,4.396,0.322,0.254
