HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
5356184,AB,T1W,E,2024-12-01,2024,"Row house, end unit",244.9,One storey,1998,B1;P1,1,6.3503,19264.2,19.264,42357.5,11766.1,121750.5,33819.9,11766.2,6672.6,0.0,0.0,0.0,212396763,Air,Central split system,19779.1,T,9.5,3.01,1.83,7.0,15.2,92.0,0.0,0.0,ESTAR,Central split system,2.85,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,TRANE,4TXD2036A10NU**,"H,TG34936+TD",36000,22000,24000,1.80,8.5,15.2,No,10.551,7.034,0.548,0.365
5356536,AB,T4B,E,2025-03-01,2025,Single Detached,343.8,Two storeys,2015,B1;P1,1,1.79,17064.3,17.064,45217.6,12560.5,90835.9,25232.4,12560.7,0.0,0.0,0.0,0.0,212608420,Air,Central split system,17584.3,F,0.0,4.049,0.0,0.0,0.0,0.0,6.74,17.2,,Central split system,3.495,Electric furnace,Electricity,Fireplace with spark ignit. (sealed),Natural Gas,Yes,LENNOX,VPC060H4M-3P*,,60000,42500,39000,1.70,8.7,17.2,No,17.584,11.43,1.03,0.67
5357615,AB,T6L,E,2025-05-01,2025,Single Detached,216.0,One storey,1981,B1;P1,1,3.6479,12338.9,12.339,29363.2,8156.5,93479.2,25966.7,8156.5,2970.3,0.0,0.0,0.0,212361759,Air,,13128.7,T,7.33,3.35,1.95,,,80.0,,,ESTAR,Central split system,3.2,Condensing furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,MOOVAIR,DMA24HOS20230E7,CUB24HAC20BWT7A,25000,21000,20000,1.95,9.5,16.5,Yes,7.327,5.861,0.594,0.475
5358075,AB,T3M,E,2024-12-01,2024,Single Detached,185.9,Two storeys,2007,B1,1,3.012,9307.1,9.307,19184.7,5329.1,65972.1,18325.7,5329.2,1135.3,0.0,0.0,0.0,212851768,Air,,10334.9,T,9.5,3.22,1.8,,,86.0,,,,Central split system,2.93,Condensing furnace,Natural Gas,,,Yes,,,,,,,,,,,,,,
5358495,AB,T8N,E,2025-05-01,2025,Single Detached,199.6,One storey,1984,B1;B2,1,4.4342,16452.2,16.452,37928.3,10535.7,120103.5,33362.4,10535.6,8150.6,0.0,0.0,0.0,211644151,Air,,10175.1,T,9.96,3.02,1.8,,,70.0,,,,Central split system,2.79,Condensing furnace,Natural Gas,Fireplace with spark ignit. (sealed),Natural Gas,Yes,GREE,GUD36W/A-D(U),GCAT36*/NAA,36000,23200,26000,1.80,8.5,15.2,Yes,10.551,7.62,0.641,0.463
5365258,AB,T8G,E,2025-03-01,2025,Single Detached,350.0,Two storeys,1996,B1,1,4.8302,22516.7,22.517,35189.1,9774.8,149754.4,41598.8,9774.8,16061.0,0.0,0.0,0.0,212851768,Air,Central split system,10299.4,T,9.5,3.22,1.8,7.0,15.2,86.0,0.0,0.0,ESTAR,Central split system,2.93,Induced draft fan furnace,Natural Gas,Wood fireplace,Mixed Wood,Yes,,,,,,,,,,,,,,
5466607,AB,T2E,E,2025-04-01,2025,Single Detached,284.9,Two storeys,1996,B1;P1,1,3.2569,15744.4,15.744,19877.1,5521.5,102936.3,28593.6,5521.4,5104.8,0.0,0.0,0.0,213872261,Air,Central split system,20104.7,T,11.72,4.17,2.19,7.0,17.0,76.0,0.0,0.0,ESTAR,Central split system,2.7,Condensing furnace,Natural Gas,Fireplace with pilot (unsealed),Natural Gas,Yes,DAIKIN,DZ6VSA421EA*,CA*EA6030*4A*,40000,28000,30600,2.20,8.6,17,Yes,11.723,8.968,0.745,0.57
5367088,AB,T2L,E,2025-04-01,2025,Single Detached,213.4,One storey,1964,B1,1,3.1544,9639.4,9.639,17200.8,4778.0,71144.0,19762.4,4778.1,1251.4,0.0,0.0,0.0,213076369,Air,Central split system,7949.0,T,7.85,3.54,2.26,8.35,16.5,99.0,0.0,0.0,,Central split system,3.2,Condensing furnace,Natural Gas,,,Yes,CARRIER,38MURAQ24AB3*,CAP**2417AL*,26800,19400,26600,2.26,8.5,16.5,No,7.854,7.796,0.815,0.809
5367488,AB,T4J,E,2025-01-01,2025,Single Detached,279.2,One storey,1960,B1;B2,1,3.1266,17998.3,17.998,2486.2,690.6,180529.6,50147.5,690.6,34986.4,0.0,0.0,0.0,210049387,Air,,6388.9,F,0.0,3.713,0.0,,,0.0,,,ESTAR,Central split system,3.327,Condensing furnace,Natural Gas,,,Yes,LENNOX,ML17XP1-036-230A**,CX35-50/60C+TDR,32800,21800,17400,2.10,7.8,15.8,No,9.613,5.099,0.534,0.283
1698692,AB,T5R,E,2024-12-01,2024,Single Detached,189.5,One storey,1966,B1;P1,1,4.8249,9123.0,9.123,20350.9,5653.1,80871.7,22464.5,5653.1,4296.7,0.0,0.0,0.0,212361760,Air,,10880.9,T,9.67,3.25,1.85,,,81.0,,,,Central split system,2.76,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,MOOVAIR,DMA30HOS20230E7,CUB36HAC20CWT7A,33000,22600,27000,1.85,9.7,15.5,Yes,9.671,7.913,1.06,0.867
1690560,AB,T3E,E,2025-01-01,2025,Single Detached,190.8,One storey,1954,B1,1,4.0059,9551.5,9.552,28181.1,7828.1,59909.3,16641.6,7828.1,0.0,0.0,0.0,0.0,211259279,Air,Central single package system,22366.6,T,11.72,3.55,2.0,0.0,0.0,95.0,0.0,0.0,,Central single package system,3.77,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,,,Yes,Mitsubishi Electric,PUZ-HA36NKA,PVA-A36AA*,40000,24600,38000,2.00,10,18.2,Yes,11.723,11.137,1.227,1.166
5369458,AB,T1S,E,2025-05-01,2025,Single Detached,249.9,Two storeys,2002,B1,1,3.1156,12874.2,12.874,25255.6,7015.5,92766.9,25768.8,7015.6,3868.1,0.0,0.0,0.0,212427856,Air,Central split system,10805.5,T,7.33,3.49,1.82,6.7,17.0,86.0,0.0,0.0,,Central split system,2.93,Condensing furnace,Natural Gas,Fireplace with pilot (sealed),Natural Gas,Yes,CONTINENTAL,WSEHV2436RA1-C,"H,DE33(6,9)36",24000,15000,17500,1.80,8.5,17,No,7.034,5.129,0.546,0.398
5370582,AB,T2N,E,2025-02-01,2025,Single Detached,95.5,One storey,1910,B1;B2,1,8.004,9923.6,9.924,22181.9,6161.7,69397.2,19277.2,6161.7,1583.9,0.0,0.0,0.0,211644151,Air,Coils Only,10039.4,T,9.96,2.99,1.8,7.0,15.2,75.0,0.0,0.0,,Coils Only,2.79,Condensing furnace,Natural Gas,Other (describe),Electricity,Yes,GREE,GUD36W/A-D(U),GCAT36*/NAA,36000,23200,26000,1.80,8.5,15.2,Yes,10.551,7.62,1.063,0.768
5370740,AB,T2T,E,2025-02-01,2025,Single Detached,122.8,One storey,1912,B1,1,5.7547,9354.7,9.355,21930.3,6091.8,76846.7,21346.5,6091.7,1006.4,0.0,0.0,0.0,211717298,Air,,10183.0,T,9.96,2.98,1.8,,,70.0,,,,Central split system,2.79,Condensing furnace,Natural Gas,Other (describe),Electricity,Yes,GREE,FLEXX36HP230V1AO,FLEXX36C,36000,23200,26000,1.80,8.5,15.2,No,10.551,7.62,1.128,0.815
