HOUSEID,PT,FSA,EVALTYPE,ENTRYDATE,AuditYear,TYPEOFHOUSE,FLOORAREA,STOREYS,YEARBUILT,FNDTYPE,NUMDWELLINGUNITS,AIR50P,EGHDESHTLOSS,PeakLoad_kW,EGHFURNACEAEC,HeatEnergy_kWh,EGHFCONTOTAL,TotalEnergy_kWh,HeatElectricity_kWh,HeatNaturalGas_kWh,HeatOil_kWh,HeatPropane_kWh,HeatWood_kWh,AHRI,HPSOURCE,HPEquipType,HPCAP,CCASHP,CCASHPCAP,COP,CCASHPCOP,CCASHPHSPF2,CCASHPSEER2,CCASHPCAPACITYMAINTENANCE,ASHPHSPF2,ASHPSEER2,HPESTAR,AIRCONDTYPE,AIRCOP,FURNACETYPE,FURNACEFUEL,SUPPHTGTYPE1,SUPPHTGFUEL1,Cert_Resolved,Cert_Brand,Cert_Model,Cert_IndoorModel,Cert_Cap47_btuh,Cert_Cap17_btuh,Cert_Cap5_btuh,Cert_COP5,Cert_HSPF2,Cert_SEER2,Cert_ColdClimate,Cert_Cap47_kW,Cert_Cap5_kW,SizingRatio_47F,SizingRatio_5F
2071766,YK,Y1A,N,2022-04-01,2022,Single Detached,209.2,Two storeys,2022,B1,1.0,1.5294,8400.0,8.4,27792.3,7720.1,68536.9,19038.2,7720.1,0.0,0.0,0.0,0.0,205975740,Air,,15440.1,f,0.0,3.44,0.0,,,0.0,,,,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,Mitsubishi Electric,MUZ-FS18NAH-U1,MSZ-FS18NA-U1,19000,12800,22400,2.00,10.3,21,No,5.568,6.565,0.663,0.782
2078944,YK,Y1A,N,2022-08-01,2022,Single Detached,119.8,Two storeys,2022,B1,1.0,1.7047,5478.3,5.478,14177.3,3938.2,56013.6,15559.5,3938.1,0.0,0.0,0.0,0.0,205975740,Air,,15440.2,f,0.0,3.44,0.0,,,0.0,,,,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Fireplace with spark ignit. (sealed),Propane,Yes,Mitsubishi Electric,MUZ-FS18NAH-U1,MSZ-FS18NA-U1,19000,12800,22400,2.00,10.3,21,No,5.568,6.565,1.016,1.198
5098908,YK,Y0B,E,2023-04-01,2023,Single Detached,171.2,Two storeys,1990,,1,3.1207,14941.5,14.942,42405.2,11779.3,95482.9,26523.2,11779.3,0.0,0.0,3036.7,0.0,8908615,Air,,24708.5,T,10.67,3.29,2.02,,,100.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Softwood,Yes,FUJITSU,AOU36RLXFZH,,36000,21400,36400,2.02,9.5,20.5,Yes,10.551,10.668,0.706,0.714
5159780,YK,Y1A,E,2023-02-01,2023,Single Detached,174.4,One storey,2004,C1;F1,1,2.4155,16699.0,16.699,51749.7,14375.0,101592.8,28220.4,14375.1,0.0,0.0,0.0,0.0,8908615,Air,,21044.0,T,10.67,3.48,2.01,,,0.0,,,ESTAR,Mini-split ductless,2.578,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Advanced airtight wood stove,Softwood,Yes,FUJITSU,AOU36RLXFZH,,36000,21400,36400,2.02,9.5,20.5,Yes,10.551,10.668,0.632,0.639
5287645,YK,Y1A,E,2023-12-01,2023,"Row house, end unit",155.0,Two storeys,1959,B1;B2,1,5.1721,11494.1,11.494,32125.4,8923.8,76451.6,21236.7,8923.7,0.0,0.0,0.0,0.0,210435438,Air,,9343.1,T,10.49,3.91,2.08,,,89.0,,,,Central split system,3.66,Electric furnace,Electricity,,,Yes,Mitsubishi Electric,PUZ-HA30NKA*,PAA-A30BA1,35400,23200,35400,1.75,8.9,18,Yes,10.375,10.375,0.903,0.903
1925488,YK,Y1A,E,2023-12-01,2023,Single Detached,189.8,Two storeys,1989,B1,1,3.03,14099.7,14.1,24850.0,6902.8,122416.3,34004.8,6902.8,0.0,14589.3,0.0,0.0,207706560,Air,,15232.9,T,9.67,3.04,1.8,,,0.0,,,,Mini-split ductless,2.77,Mid-efficiency furnace (no dil. air),Oil,,,Yes,MOOVAIR,DMA30HOS20230E7,FMA30HIAHUU230X7,33000,21000,24000,1.80,8.9,16.2,Yes,9.671,7.034,0.686,0.499
1932598,YK,Y1A,E,2023-08-01,2023,Single Detached,281.2,Two storeys,2003,C1;F1,1,1.3547,15831.6,15.832,38375.4,10659.9,97976.5,27215.9,10659.8,0.0,0.0,1794.5,0.0,205707004,Air,,28084.7,T,13.77,3.89,2.3,,,89.0,,,,Central single package system,2.21,Electric furnace,Electricity,Fireplace with pilot (sealed),Propane,Yes,DAIKIN,RZQ42TAVJU*,FTQ42TAVJU*A*,42000,34000,,,9,16,No,12.309,,0.777,
1948879,YK,Y1A,E,2023-06-01,2023,Single Detached,210.5,Two storeys,1970,B1,1,4.4718,18438.2,18.438,69053.8,19181.8,112181.3,31161.7,19181.8,0.0,0.0,0.0,0.0,206223052,Air,,26031.2,T,11.14,3.42,2.0,,,100.0,,,ESTAR,Central single package system,3.77,Electric furnace,Electricity,Adv. airtight wood stove + cat. conv.,Softwood,Yes,,,,,,,,,,,,,,
1987499,YK,Y1A,E,2023-03-01,2023,Single Detached,220.0,One storey,1973,B1;P1,1,4.2318,14990.3,14.99,51670.1,14352.9,95089.0,26413.8,14352.9,0.0,0.0,0.0,0.0,204926514,Air,,32881.7,T,32.88,3.31,1.95,,,100.0,,,ESTAR,Not installed,0.0,Baseboard/Hydronic/Plenum(duct) htrs.,Electricity,Adv. airtight wood stove + cat. conv.,Softwood,Yes,Mitsubishi Electric,MXZ-5C42NAHZ2,,48000,34000,,,10.8,18.5,No,14.067,,0.938,
814699,YK,Y1A,E,2022-09-01,2022,Single Detached,217.7,Two storeys,2012,B1,1,1.4757,9566.6,9.567,31444.2,8734.6,77001.7,21389.5,8734.5,0.0,0.0,0.0,0.0,206223054,Air,,26031.2,T,11.14,3.35,1.96,,,100.0,,,ESTAR,Central split system,3.3945,Electric furnace,Electricity,,,Yes,Mitsubishi Electric,PUZ-HA36NKA,PEAD-A36AA7,38000,25400,,,10.4,17.1,No,11.137,,1.164,
