"BORE_HOLE_ID","WELL_ID","DP2BR","CODEOB","OPEN_HOLE","DATE_COMPLETED","Remarks","ZONE","EAST83","NORTH83","UTMRC","LOCATION_METHOD","ORGCS","ELEVATION","ELEVRC","LOCATION_SOURCE_DATE","SOURCE_REVISION_COMMENT","IMPROVEMENT_LOCATION_SOURCE","IMPROVEMENT_LOCATION_METHOD","SUPPLIER_COMMENT","SPATIAL_STATUS","CLUSTER_KIND"
10052301,"1530767",,,,8/19/1999 0:00:00,"",18,420793.6,5030666,"9","lot",,,"",,,,,,,
10052302,"1530768",,,,8/20/1999 0:00:00,"",18,419677.6,5029711,"9","lot",,,"",,,,,,,
10052303,"1530769",,,,8/19/1999 0:00:00,"",18,415043.6,5036983,"9","lot",,,"",,,,,,,
10052304,"1530770",,,,8/19/1999 0:00:00,"",18,419402.6,5030116,"9","lot",,,"",,,,,,,
10052305,"1530771",,,,8/4/1999 0:00:00,"",18,399804,5034944,"9","lot",,,"",,,,,,,
10052306,"1530772",,,,8/21/1999 0:00:00,"",18,397511.5,5028387,"9","lot",,,"",,,,,,,
10052307,"1530773",,,,8/18/1999 0:00:00,"",18,396875.4,5027049,"9","lot",,,"",,,,,,,
10052308,"1530774",,,,7/29/1999 0:00:00,"",18,416870.5,5010374,"9","lot",,,"",,,,,,,
10052309,"1530775",,,,8/19/1999 0:00:00,"",18,408400.6,5038505,"9","lot",,,"",,,,,,,
10052310,"1530776",,,,8/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052311,"1530777",,,,8/7/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052312,"1530778",,,,8/31/1999 0:00:00,"",18,472561.8,5031573,"9","lot",,,"",,,,,,,
10052313,"1530779",,,,8/9/1999 0:00:00,"",18,470730.8,5020896,"9","lot",,,"",,,,,,,
10052314,"1530780",,,,8/5/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052315,"1530781",,,,2/18/1999 0:00:00,"",18,466532.8,5035755,"9","lot",,,"",,,,,,,
10052316,"1530782",,,,8/6/1999 0:00:00,"",18,474882.9,5025246,"9","lot",,,"",,,,,,,
10052317,"1530783",,,,8/18/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052318,"1530784",,,,8/21/1998 0:00:00,"",18,424780.6,5030369,"9","lot",,,"",,,,,,,
10052319,"1530785",,,,8/24/1999 0:00:00,"",18,440885.7,5005566,"9","lot",,,"",,,,,,,
10052320,"1530786",,,,8/14/1999 0:00:00,"",18,440540.7,4990214,"9","lot",,,"",,,,,,,
10052321,"1530787",,,,7/30/1999 0:00:00,"",18,456379.8,4995206,"9","lot",,,"",,,,,,,
10052322,"1530788",,,,8/9/1999 0:00:00,"",18,450524.7,5005332,"9","lot",,,"",,,,,,,
10052323,"1530789",,,,8/4/1999 0:00:00,"",18,442343.7,5019944,"9","lot",,,"",,,,,,,
10052324,"1530790",,,,9/29/1999 0:00:00,"",18,409754.5,5029144,"9","lot",,,"",,,,,,,
10052325,"1530791",,,,9/29/1999 0:00:00,"",18,422197.6,5033258,"9","lot",,,"",,,,,,,
10052326,"1530792",,,,4/5/1999 0:00:00,"",18,397316.5,5030625,"9","lot",,,"",,,,,,,
10052327,"1530793",,,,9/20/1999 0:00:00,"",18,437638.7,4992096,"9","lot",,,"",,,,,,,
10052328,"1530794",,,,10/1/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052329,"1530795",,,,9/24/1999 0:00:00,"",18,447610.3,5004677,"9","lot",,,"",,,,,,,
10052330,"1530796",,,,9/20/1999 0:00:00,"",18,411412.5,5031356,"9","lot",,,"",,,,,,,
10052331,"1530797",,,,9/20/1999 0:00:00,"",18,411012.5,5031830,"9","lot",,,"",,,,,,,
10052332,"1530798",,,,10/6/1999 0:00:00,"",18,,,"9","na",,,"",,,,,,,
10052333,"1530799",,,,9/15/1999 0:00:00,"",18,408279.5,5020498,"9","lot",,,"",,,,,,,
10052334,"1530800",,,,8/25/1999 0:00:00,"",18,399742.4,5023808,"9","lot",,,"",,,,,,,
10052335,"1530801",,,,9/15/1999 0:00:00,"",18,409917.5,5020470,"9","lot",,,"",,,,,,,
