"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500261,10022306,"1500261","1",
961500262,10022307,"1500262","1",
961500263,10022308,"1500263","1",
961500264,10022309,"1500264","1",
961500265,10022310,"1500265","1",
961500266,10022311,"1500266","1",
961500267,10022312,"1500267","1",
961500268,10022313,"1500268","1",
961500269,10022314,"1500269","1",
961500270,10022315,"1500270","1",
961500271,10022316,"1500271","1",
961500272,10022317,"1500272","1",
961500273,10022318,"1500273","1",
961500274,10022319,"1500274","1",
961500275,10022320,"1500275","1",
961500276,10022321,"1500276","1",
961500277,10022322,"1500277","1",
961500278,10022323,"1500278","1",
961500279,10022324,"1500279","1",
961500280,10022325,"1500280","1",
961500281,10022326,"1500281","1",
961500282,10022327,"1500282","1",
961500283,10022328,"1500283","1",
961500284,10022329,"1500284","1",
961500285,10022330,"1500285","1",
961500286,10022331,"1500286","1",
961500287,10022332,"1500287","1",
961500288,10022333,"1500288","1",
961500289,10022334,"1500289","7",
961500290,10022335,"1500290","1",
961500291,10022336,"1500291","7",
961500292,10022337,"1500292","7",
961500293,10022338,"1500293","7",
961500294,10022339,"1500294","7",
961500295,10022340,"1500295","1",
961500296,10022341,"1500296","1",
961500297,10022342,"1500297","1",
961500298,10022343,"1500298","1",
961500299,10022344,"1500299","7",
961500300,10022345,"1500300","1",
961500301,10022346,"1500301","1",
961500302,10022347,"1500302","1",
961500303,10022348,"1500303","1",
961500304,10022349,"1500304","1",
961500305,10022350,"1500305","1",
961500306,10022351,"1500306","1",
961500307,10022352,"1500307","1",
961500308,10022353,"1500308","1",
961500309,10022354,"1500309","1",
961500310,10022355,"1500310","1",
961500311,10022356,"1500311","7",
961500312,10022357,"1500312","1",
961500313,10022358,"1500313","1",
961500314,10022359,"1500314","1",
961500315,10022360,"1500315","1",
961500316,10022361,"1500316","1",
961500317,10022362,"1500317","1",
