"PIPE_ID","WELL_ID","casing_number","Bore_Hole_ID","Comment","Alt_name"
10571086,"1500473",1,10022516,,
10571087,"1500474",1,10022517,,
10571088,"1500475",1,10022518,,
10571089,"1500476",1,10022519,,
10571090,"1500477",1,10022520,,
10571091,"1500478",1,10022521,,
10571092,"1500479",1,10022522,,
10571093,"1500480",1,10022523,,
10571094,"1500481",1,10022524,,
10571095,"1500482",1,10022525,,
10571096,"1500483",1,10022526,,
10571097,"1500484",1,10022527,,
10571098,"1500485",1,10022528,,
10571099,"1500486",1,10022529,,
10571100,"1500487",1,10022530,,
10571101,"1500488",1,10022531,,
10571102,"1500489",1,10022532,,
10571103,"1500490",1,10022533,,
10571104,"1500491",1,10022534,,
10571105,"1500492",1,10022535,,
10571106,"1500493",1,10022536,,
10571107,"1500494",1,10022537,,
10571108,"1500495",1,10022538,,
10571109,"1500496",1,10022539,,
10571110,"1500497",1,10022540,,
10571111,"1500498",1,10022541,,
10571112,"1500499",1,10022542,,
10571113,"1500500",1,10022543,,
10571114,"1500501",1,10022544,,
10571115,"1500502",1,10022545,,
10571116,"1500503",1,10022546,,
10571117,"1500504",1,10022547,,
10571118,"1500505",1,10022548,,
10571119,"1500506",1,10022549,,
10571120,"1500507",1,10022550,,
10571121,"1500508",1,10022551,,
10571122,"1500509",1,10022552,,
10571123,"1500510",1,10022553,,
10571124,"1500511",1,10022554,,
10571125,"1500512",1,10022555,,
10571126,"1500513",1,10022556,,
10571127,"1500514",1,10022557,,
10571128,"1500515",1,10022558,,
10571129,"1500516",1,10022559,,
10571130,"1500517",1,10022560,,
10571131,"1500518",1,10022561,,
10571132,"1500519",1,10022562,,
10571133,"1500520",1,10022563,,
10571134,"1500521",1,10022564,,
10571135,"1500522",1,10022565,,
10571136,"1500523",1,10022566,,
10571137,"1500524",1,10022567,,
10571138,"1500525",1,10022568,,
10571139,"1500526",1,10022569,,
10571140,"1500527",1,10022570,,
10571141,"1500528",1,10022571,,
10571142,"1500529",1,10022572,,
10571143,"1500530",1,10022573,,
10571144,"1500531",1,10022574,,
10571145,"1500532",1,10022575,,
10571146,"1500533",1,10022576,,
10571147,"1500534",1,10022577,,
