"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"OTTAWA CITY   ","18 444401 5026842 W","1964-07 1802","7    7    ","FR 0134 ","25/90/60/:","AC ","","1508073 () ","BLDR 0019 GREY LMSN 0135 "
"OTTAWA CITY   ","18 448191 5024922 W","1951-08 3725","4    4    ","FR 0035 FR 0125 ","50/50/4/1:0","DO ","","1508083 () ","LOAM 0006 SHLE 0225 "
"OTTAWA CITY   ","18 448021 5027172 W","1950-09 3725","6    6    ","UK 0017 UK 0085 ","17/22//:","DO ","","1508057 () ","CLAY 0006 BLUE SHLE 0100 "
"OTTAWA CITY   ","18 448191 5025002 W","1951-07 3725","4    4    ","SU 0035 SU 0125 ","50//4/1:0","DO ","","1508081 () ","LOAM 0007 SHLE 0227 "
"OTTAWA CITY   ","18 448191 5025052 W","1951-07 3725","5    5    ","UK 0202 ","65///:","NU ","","1508080 ()  A","BLCK FILL 0006 BLCK SHLE 0210 "
"OTTAWA CITY   ","18 447911 5024792 W","1951-04 3725","4    4    ","FR 0116 ","24/35/4/0:15","DO ","","1508079 () ","BLCK FILL 0006 SHLE 0116 "
"OTTAWA CITY   ","18 448041 5024662 W","1951-04 3725","4    4    ","FR 0090 ","20/26/4/0:15","DO ","","1508078 () ","SHLE 0090 "
"OTTAWA CITY   ","18 448011 5024722 W","1951-03 3725","4    4    ","FR 0117 ","23/29/4/0:15","DO ","","1508077 () ","BLCK FILL 0004 SHLE 0117 "
"OTTAWA CITY   ","18 439001 5024242 W","1951-12 3725","4    4    ","FR 0030 ","12/18/4/0:30","DO ","","1508076 () ","LOAM 0010 LMSN 0110 "
"OTTAWA CITY   ","18 448186 5024952 W","1951-09 3725","4    4    ","MN 0128 ","10///:","DO ","","1508084 () ","CLAY 0010 BLCK SLTE 0128 "
"OTTAWA CITY   ","18 440076 5024152 W","1953-09 4833","5    ","FR 0200 ","30/60/5/0:15","DO ","","1508031 () ","PRDR 0125 LMSN 0205 "
