"TOWNSHIP CON LOT","UTM","DATE CNTR","CASING DIA","WATER","PUMP TEST","WELL USE","SCREEN","WELL","FORMATION"
"GOULBOURN TOWNSHIP CON  01 023","18 435937 5001137 W","2005-05 1558","6.23 ","0090 0119 ","7/18/12/1:","DO ","","1535574 (Z27084) A013660","BRWN LOAM LOOS 0003 GREY LMSN HARD 0123 "
"GOULBOURN TOWNSHIP CON  01 023","18 436321 5001488 W","1973-05 3644","5    ","FR 0100 ","9/30/20/1:0","ST DO ","","1513319 () ","GREY CLAY STNS 0026 GREY LMSN 0100 "
"GOULBOURN TOWNSHIP CON  01 023","18 436330 5001521 W","1983-10 3142","6    6    ","FR 0108 ","8/20/30/1:0","DO ","","1518536 () ","GREY CLAY BLDR PCKD 0017 GREY LMSN HARD 0112 "
"GOULBOURN TOWNSHIP CON  01 024","18 436739 5001903 W","2007-11 1558","6.23 ","0186 ","27/27/12/1:","DO ","","7053607 (Z60383) A065642","BRWN LOAM SNDY BLDR 0014 GREY CLAY SNDY BLDR 0024 GREY LMSN 0160 GREY SNDS 0190 "
"GOULBOURN TOWNSHIP CON  01 024","18 436739 5001903 W","2007-11 1558","","","","","","7053606 (Z60385)  A",""
"GOULBOURN TOWNSHIP CON  01 024","18 436422 5002165 L","1999-12 1558","6    6    ","UK 0184 ","4/50/50/1:0","DO ","","1531014 (208543) ","BRWN CLAY SNDY STNS 0008 GREY HPAN STNS PCKD 0021 GREY SNDS HARD 0118 GREY SNDS HARD 0185 "
"GOULBOURN TOWNSHIP CON  01 024","18 436422 5002166 L","1999-07 1558","6    6    ","UK 0102 0185 ","15/25/50/1:","DO ","","1530627 (194900) ","BRWN HPAN BLDR PCKD 0008 GREY HPAN BLDR PCKD 0015 GREY LMSN 0136 GREY SNDS HARD 0188 "
"GOULBOURN TOWNSHIP CON  01 024","18 436419 5002166 L","2001-09 1558","6    6    ","UK 0267 ","26/50/15/1:0","DO ","","1532318 (230263) ","BRWN SAND STNS 0022 GREY LMSN FCRD LYRD 0031 GREY LMSN HARD 0189 GREY SNDS HARD 0273 "
"GOULBOURN TOWNSHIP CON  01 024","18 436020 5002479 W","1974-05 3644","5    ","FR 0061 ","6/30/6/1:0","DO ","","1514196 () ","GREY CLAY STNS 0010 GREY LMSN 0061 "
"GOULBOURN TOWNSHIP CON  01 024","18 436422 5002166 L","1991-01 1558","6    6    ","UK 0186 ","15/75/15/1:0","ST ","","1525344 (89527) ","BRWN LOAM PCKD 0002 GREY LMSN MGRD 0145 GREY SNDS HARD 0190 "
"GOULBOURN TOWNSHIP CON  01 024","18 436081 5002432 W","1962-02 4824","4    4    ","FR 0030 ","10/12/5/1:0","DO ","","1502378 () ","GRVL 0015 GREY LMSN 0050 "
"GOULBOURN TOWNSHIP CON  01 024","18 436481 5002272 W","1964-07 4824","4    4    ","FR 0030 ","10/15/5/1:0","DO ","","1502379 () ","GRVL 0014 LMSN 0054 "
"GOULBOURN TOWNSHIP CON  01 025","18 436421 5002789 W","2008-05 4875","6.25 ","FR 0066 ","5/11/12/1:","DO ","","7106403 (Z77588) A062779","GREY TILL CLAY 0005 GREY LMSN SHLE 0071 "
"GOULBOURN TOWNSHIP CON  01 025","18 436801 5002515 L","2000-04 1119","8    6    6    ","FR 0180 FR 0187 ","24/140/11/1:","DO ","","1531155 (216955) ","SAND 0019 GREY LMSN 0161 GREY SNDS 0192 "
"GOULBOURN TOWNSHIP CON  01 025","18 437082 5002403 W","2011-07 1558","6.23 ","UT 0189 ","13/15/12/1:0","DO "," ","7170977 (Z115742) A102462","BRWN CLAY STNS 0013 GREY TILL 0027 GREY LMSN SNDS LYRD 0200 "
"GOULBOURN TOWNSHIP CON  01 025","18 436511 5002932 W","1967-03 1503","5    5    ","FR 0063 ","10/50/5/2:0","DO ","","1502380 () ","CLAY MSND 0015 HPAN BLDR 0023 LMSN 0064 "
"GOULBOURN TOWNSHIP CON  012","18 433843 5002663 W","2007-10 1414","6.11 ","FR 0115 ","9/12/13/1:0","DO ","","7052062 (Z57244) A057650","BRWN CLAY SOFT 0004 BRWN SNDS HARD 0120 "
"GOULBOURN TOWNSHIP CON  013","18 433808 5002701 W","2007-10 1414","6.11 ","FR 0164 ","16//5/1:0","DO ","","7052061 (Z57243) A057405","BRWN TILL BLDR HARD 0011 BRWN SNDS HARD 0179 "
"GOULBOURN TOWNSHIP CON  02 001","18 424679 4993932 W","2017-06 2558","6    ","UT 0065 UT 0142 ","/14/15/1:","DO "," ","7290161 (Z257094) A205414","GREY LOAM STNS 0003 GREY LMSN 0035 GREY LMSN 0070 GREY LMSN 0150 "
"GOULBOURN TOWNSHIP CON  02 001","18 424382 4994302 W","2001-07 1119","8    6    6    ","FR 0130 ","25/140/12/1:","DO ","","1532157 (234289) ","SAND 0006 LMSN 0110 SNDS 0140 "
"GOULBOURN TOWNSHIP CON  02 001","18 424333 4994423 W","2003-02 1119","8    6    6    ","UK 0133 ","15/130/6/1:0","DO ","","1533579 (248226) ","SAND 0004 GREY LMSN 0094 WHIT SNDS 0141 "
"GOULBOURN TOWNSHIP CON  02 001","18 424828 4994154 L","1990-08 1558","6    6    ","UK 0121 UK 0154 UK 0187 ","30/175/4/1:0","DO ","","1524745 (80339) ","BRWN SAND GRVL FILL 0007 GREY LMSN MGRD 0121 GREY LMSN SNDS MGRD 0200 "
"GOULBOURN TOWNSHIP CON  02 002","18 425298 4994545 L","1998-11 1558","6    5    ","UK 0097 UK 0103 ","7/15/20/1:0","ST ","","1530336 (194791) ","BRWN LOAM STNS PCKD 0003 GREY LMSN HARD 0107 "
"GOULBOURN TOWNSHIP CON  02 002","18 425298 4994545 L","1999-06 1119","8    6    6    ","FR 0121 FR 0196 ","23/100/30/1:","DO ","","1530723 (197218) ","CLAY SNDY 0001 GREY LMSN 0131 GREY SNDS 0202 "
"GOULBOURN TOWNSHIP CON  02 002","18 425811 4994054 W","1991-09 3644","6    6    ","FR 0138 ","25/135/6/1:0","DO ","","1525680 (92075) ","GREY CLAY 0007 GREY LMSN 0095 GREY LMSN SNDS LYRD 0143 "
"GOULBOURN TOWNSHIP CON  02 002","18 425194 4993520 W","1989-05 3644","6    6    ","FR 0055 ","20/55/5/1:0","DO ","","1523656 (49885) ","GREY LMSN 0062 "
"GOULBOURN TOWNSHIP CON  02 002","18 425731 4994172 W","1961-09 3601","4    4    ","FR 0045 ","14/16/3/1:0","ST DO ","","1502381 () ","LOAM CLAY 0008 GREY LMSN 0045 "
"GOULBOURN TOWNSHIP CON  02 003","18 426438 4994544 W","2015-10 1119","6.25 6.05 ","UT 0130 UT 0133 ","10/11/20/1:0","DO "," ","7255466 (Z202641) A177765","SAND ROCK FCRD 0004 GREY LMSN 0111 YLLW SNDS 0130 YLLW SNDS 0133 YLLW SNDS 0140 "
"GOULBOURN TOWNSHIP CON  02 003","18 426390 4994621 W","2023-05 7681","","","","","","7463248 (Z407887) A378923 P",""
"GOULBOURN TOWNSHIP CON  02 003","18 426478 4994617 W","1975-08 3644","6    ","FR 0092 ","8/70/5/1:0","DO ","","1515162 () ","GREY LMSN 0095 "
"GOULBOURN TOWNSHIP CON  02 003","18 426281 4994447 W","1961-09 3601","5    5    ","FR 0062 ","12/16/5/1:0","PS ","","1502382 () ","CLAY LOAM 0018 GREY LMSN 0062 "
"GOULBOURN TOWNSHIP CON  02 004","18 426897 4994977 W","2015-04 1119","6.25 5.94 ","UT 0062 UT 0127 ","0/26/12/1:0","DO "," ","7240493 (Z191395) A177735","0012 GREY CLAY SNDY BLDR 0062 GREY SNDS LMSN 0125 GREY SNDS LMSN 0127 GREY SNDS 0140 "
"GOULBOURN TOWNSHIP CON  02 004","18 426781 4994997 W","1962-06 3601","4    4    ","FR 0056 ","24/27/5/1:0","DO ","","1502384 () ","LOAM CLAY 0015 LMSN 0056 "
"GOULBOURN TOWNSHIP CON  02 004","18 426731 4994947 W","1962-06 3601","4    4    ","FR 0094 ","27/30/3/1:0","ST DO ","","1502383 () ","OBDN 0012 LMSN 0094 "
"GOULBOURN TOWNSHIP CON  02 005","18 427114 4995602 W","2022-06 7681","","","","","","7425848 (Z379011) A342120 P",""
"GOULBOURN TOWNSHIP CON  02 005","18 444120 5009546 W","2004-02 1119","6.25 ","FR 0052 FR 0080 FR 0142 ","19/50/17/1:0","DO ","","1534547 (Z04798) A004843","CLAY GRVL BLDR 0042 GREY LMSN 0110 GREY SNDS 0150 "
"GOULBOURN TOWNSHIP CON  02 005","18 427181 4995517 W","2002-07 1558","6    6    ","UK 0144 ","32/75/10/1:0","DO ","","1533028 (238193) ","BRWN SAND 0006 BRWN SHLE 0010 GREY LMSN 0129 GREY SNDS 0150 "
"GOULBOURN TOWNSHIP CON  02 005","18 427256 4995472 W","1967-11 1503","5    5    ","FR 0115 ","20/75/5/2:0","DO ","","1502386 () ","MSND 0014 LMSN 0117 "
"GOULBOURN TOWNSHIP CON  02 005","18 426981 4995497 W","1961-09 3601","5    5    ","FR 0070 ","12/14/4/1:0","ST DO ","","1502385 () ","LOAM 0008 GREY LMSN 0070 "
"GOULBOURN TOWNSHIP CON  02 006","18 427166 4996130 L","2003-08 1119","6    6    ","UK 0033 UK 0051 ","7/50/20/1:0","DO ","","1534051 (248434) ","FILL 0005 GRVL SAND 0007 GREY SNDS 0055 WHIT SNDS 0061 "
"GOULBOURN TOWNSHIP CON  02 006","18 427755 4995634 W","2012-09 1558","6.23 ","UT 0025 UT 0060 UT 0115 ","2/20/12/1:","DO "," ","7199590 (Z139840) A123387","BRWN LOAM STNS LOOS 0001 GREY LMSN HARD 0123 "
"GOULBOURN TOWNSHIP CON  02 006","18 427331 4995622 W","1962-11 1503","5    5    ","FR 0068 ","20/53/5/0:30","ST DO ","","1502387 () ","MSND 0012 BLUE LMSN 0070 "
"GOULBOURN TOWNSHIP CON  02 008","18 428021 4997292 W","1971-10 3644","5    ","FR 0041 ","2/10/21/1:0","DO ","","1511577 () ","GREY CLAY HPAN 0008 GREY LMSN 0041 "
"GOULBOURN TOWNSHIP CON  02 008","18 428030 4997321 W","1979-07 3644","6    ","FR 0115 FR 0119 ","0/20/100/1:0","DO ","","1517125 () ","GREY CLAY STNS 0006 GREY LMSN 0120 "
"GOULBOURN TOWNSHIP CON  02 009","18 428570 4997304 L","1996-07 3142","6    6    ","FR 0060 FR 0082 ","2/43/25/:","DO ","","1529077 (156268) ","BRWN CLAY BLDR PCKD 0012 GREY LMSN HARD 0085 "
"GOULBOURN TOWNSHIP CON  02 010","18 428384 4998146 W","2023-06 6964","","","","","","7453420 (Z400000)  A P",""
"GOULBOURN TOWNSHIP CON  02 010","18 429035 4997692 L","2001-11 1558","","","","","","1532511 (238022)  A",""
"GOULBOURN TOWNSHIP CON  02 010","18 429035 4997692 L","2001-10 1558","6    6    ","UK 0117 ","4/20/12/1:0","DO ","","1532397 (238002) ","BRWN LOAM STNS 0008 GREY LMSN 0123 "
"GOULBOURN TOWNSHIP CON  02 010","18 429039 4997692 L","1990-07 3142","6    6    ","FR 0070 ","6/18/40/2:0","DO ","","1524737 (73428) ","BRWN CLAY BLDR PCKD 0012 GREY LMSN HARD 0038 GREY LMSN PORS 0072 "
"GOULBOURN TOWNSHIP CON  02 010","18 428471 4998182 W","1978-06 3644","6    ","FR 0075 ","3/25/20/1:0","DO ","","1516570 () ","GREY CLAY 0006 GREY GRVL 0012 GREY LMSN 0084 "
"GOULBOURN TOWNSHIP CON  02 010","18 429161 4997942 W","1955-11 2415","6    6    ","FR 0040 ","0/30/40/1:0","DO ","","1502388 () ","MSND 0001 BLUE CLAY 0006 BLUE LMSN 0045 "
"GOULBOURN TOWNSHIP CON  02 011","18 429957 4997540 W","2015-06 1119","6.25 6    ","UT 0068 UT 0075 ","9/10/20/1:0","DO "," ","7244921 (Z191492) A187035","SAND BLDR 0008 CLAY 0009 GREY LMSN 0068 GREY LMSN 0075 GREY LMSN 0082 "
"GOULBOURN TOWNSHIP CON  02 011","18 428862 4998515 W","2023-07 2558","6.25 ","UT 0066 ","10/46/8/1:0","DO ","","7454448 (R9J29TVJ) A378388","CLAY 0011 GREY SNDS 0100 "
"GOULBOURN TOWNSHIP CON  02 011","18 429506 4998083 L","1997-11 1558","6    6    ","UK 0048 UK 0092 ","7/25/12/1:0","DO ","","1529712 (183295) ","BRWN CLAY PCKD 0008 GREY LMSN HARD 0098 "
"GOULBOURN TOWNSHIP CON  02 011","18 428968 4998585 W","2001-07 1119","8    6    6    ","FR 0124 ","10/100/40/1:","DO ","","1532156 (234290) ","CLAY SNDY 0012 LMSN 0118 GREY SNDS 0130 "
"GOULBOURN TOWNSHIP CON  02 011","18 429030 4998621 W","1979-11 3644","6    ","FR 0084 ","6/70/5/1:0","DO ","","1517207 () ","GREY CLAY STNS PCKD 0012 GREY LMSN 0085 "
"GOULBOURN TOWNSHIP CON  02 011","18 429506 4998083 L","1987-07 3142","6    6    ","FR 0047 UK 0056 ","10/22/30/3:0","DO ","","1521481 (07450) ","BRWN CLAY STNS PCKD 0007 GREY LMSN 0058 "
"GOULBOURN TOWNSHIP CON  02 011","18 428831 4998482 W","1964-05 4824","4    4    ","FR 0040 ","8/12/5/0:30","DO ","","1502392 () ","MSND 0012 LMSN 0055 "
"GOULBOURN TOWNSHIP CON  02 011","18 428891 4998532 W","1963-06 4824","2    2    ","FR 0050 ","15/20/5/0:30","IR ","","1502391 () ","RED  MSND 0015 GREY LMSN 0080 "
"GOULBOURN TOWNSHIP CON  02 011","18 429571 4998252 W","1957-11 2415","6    6    ","FR 0060 ","0/10/0/1:30","DO ","","1502389 () ","PRDG 0014 GREY LMSN 0066 "
"GOULBOURN TOWNSHIP CON  02 011","18 428911 4998382 W","1961-10 1503","6    6    ","FR 0040 FR 0057 ","20/20/10/0:30","DO ","","1502390 () ","MSND BLDR 0012 CLAY BLDR GRVL 0016 BLUE LMSN 0059 "
"GOULBOURN TOWNSHIP CON  02 012","18 429450 4998982 W","2019-01 2558","6    ","UT 0145 ","12/13/20/1:0","DO ","","7328223 (Z297338) A256788","GREY SAND CLAY STNS 0018 BLCK LMSN 0058 BLCK LMSN 0064 BLCK LMSN 0150 "
"GOULBOURN TOWNSHIP CON  02 012","18 430224 4997738 W","2009-08 1119","6    5.94 ","UT 0073 ","11/13/20/1:0","DO "," ","7128629 (Z102613) A082534","FILL ROCK 0007 GREY LMSN 0080 "
"GOULBOURN TOWNSHIP CON  02 012","18 429975 4998474 L","1996-05 1558","6    6    ","UK 0195 ","1/150/4/1:0","DO ","","1528961 (167060) ","BRWN CLAY STNS 0017 GREY LMSN HARD 0190 GREY SNDS HARD 0225 "
"GOULBOURN TOWNSHIP CON  02 012","18 429975 4998474 L","1997-05 1558","6    6    ","UK 0089 ","0/95/8/1:0","DO ","","1529416 (175633) ","BRWN CLAY SNDY  DRY 0009 GREY HPAN STNS PCKD 0013 GREY LMSN HARD 0099 "
"GOULBOURN TOWNSHIP CON  02 012","18 429830 4998621 W","1981-11 2425","6    ","FR 0100 ","15/120/10/1:0","DO ","","1517791 () ","BRWN SAND 0010 BLUE CLAY 0025 GREY LMSN ROCK 0120 "
"GOULBOURN TOWNSHIP CON  02 012","18 429975 4998474 L","1985-10 3644","6    6    ","FR 0119 ","20/90/12/1:0","DO ","","1520269 () ","GREY HPAN 0018 GREY LMSN 0125 "
"GOULBOURN TOWNSHIP CON  02 012","18 429975 4998474 L","1986-07 3644","6    6    ","FR 0077 ","0/25/20/1:0","DO ","","1520617 (NA) ","GREY SAND 0005 GREY CLAY 0012 GREY LMSN 0084 "
"GOULBOURN TOWNSHIP CON  02 012","18 429571 4998812 W","1956-11 2415","6    6    ","FR 0035 ","15/15/8/0:30","DO ","","1502393 () ","GREY LMSN 0070 "
"GOULBOURN TOWNSHIP CON  02 012","18 429871 4998422 W","1957-11 2415","6    6    ","FR 0065 ","5/20/15/2:0","DO ","","1502394 () ","LOAM 0001 MSND BLDR 0028 GREY LMSN 0067 "
"GOULBOURN TOWNSHIP CON  02 013","18 430099 4999542 W","2015-06 1119","6.25 6    ","UT 0144 UT 0193 ","/20/20/1:0","DO "," ","7244922 (Z191505) A177779","CLAY GRVL BLDR 0014 GREY LMSN 0144 GREY LMSN 0187 GREY SNDS 0193 GREY SNDS 0200 "
"GOULBOURN TOWNSHIP CON  02 013","18 430060 4999509 W","2010-09 1119","6    5.94 ","UT 0165 ","1/96/10/1:0","DO "," ","7152831 (Z110758) A105397","SAND GRVL CLAY 0019 GREY LMSN 0200 "
"GOULBOURN TOWNSHIP CON  02 013","18 430121 4999212 W","1970-10 3504","6    ","FR 0092 FR 0097 ","0/30/10/1:0","DO ","","1510905 () ","BRWN LOAM 0002 GREY CLAY 0012 GREY LMSN 0097 "
"GOULBOURN TOWNSHIP CON  02 013","18 430030 4999421 W","1983-11 3644","6    6    ","FR 0141 ","10/80/8/1:0","DO ","","1518755 () ","GREY CLAY 0008 GREY HPAN STNS 0016 GREY LMSN 0145 "
"GOULBOURN TOWNSHIP CON  02 014","18 430304 4999663 W","2024-10 7681","","","","","","7493255 (Z421848) A401804 P",""
"GOULBOURN TOWNSHIP CON  02 015","18 430818 5000081 W","1975-12 3644","6    ","FR 0190 ","3/110/3/1:0","DO ","","1515157 () ","GREY CLAY 0045 GREY LMSN 0195 "
"GOULBOURN TOWNSHIP CON  02 019","18 432930 5001969 W","2016-06 1119","6.25 6    ","UT 0138 UT 0146 UT 0152 ","9/9/20/1:0","DO "," ","7268450 (Z202823) A199919","SAND 0039 GREY SNDS LMSN 0138 GREY SNDS LMSN 0146 GREY SNDS LMSN 0152 GREY SNDS LMSN 0160 "
"GOULBOURN TOWNSHIP CON  02 020","18 433434 5002367 W","2004-07 1558","6.23 ","0118 ","13/19/12/1:","DO ","","1534947 (Z13684) A013807","BRWN LOAM STNS PCKD 0005 GREY LMSN LYRD HARD 0123 "
"GOULBOURN TOWNSHIP CON  02 020","18 433324 5002306 W","2004-06 1119","6.25 ","0085 0112 ","13/60/15/1:","DO ","","1534764 (Z04972) A014460","SAND GRVL FILL 0008 GREY SAND CLAY 0026 GREY LMSN 0121 "
"GOULBOURN TOWNSHIP CON  02 020","18 433400 5002354 W","2001-05 1119","6    8    6    ","FR 0078 FR 0112 ","10/110/10/1:0","DO ","","1532075 (229358) ","SAND 0009 GREY LMSN 0120 "
"GOULBOURN TOWNSHIP CON  02 020","18 433692 5001640 L","2001-08 1558","6    6    ","UK 0132 ","13/75/15/1:","DO ","","1532218 (230189) ","BRWN LOAM PCKD 0004 GREY LMSN HARD 0150 "
"GOULBOURN TOWNSHIP CON  02 020","18 433200 5002130 W","2005-03 1558","6.23 ","0049 0069 ","8/10/12/1:","DO ","","1535485 (Z13772) A013670","BRWN CLAY PCKD 0006 BRWN SAND  DRY 0012 GREY SAND BLDR WBRG 0027 GREY LMSN LYRD 0073 "
"GOULBOURN TOWNSHIP CON  02 020","18 433324 5002306 W","2011-08 1119","","UT 0193 ","",""," ","7169712 (Z119724) A014460","0012 GREY LMSN 0161 WHIT SNDS 0200 "
"GOULBOURN TOWNSHIP CON  02 021","18 434125 5002209 W","2017-11 1119","","","",""," ","7301043 (Z262189)  A",""
"GOULBOURN TOWNSHIP CON  02 021","18 434185 5002278 W","2017-12 1119","","","",""," ","7310117 (Z237459)  A",""
"GOULBOURN TOWNSHIP CON  02 021","18 434116 5002371 W","2021-02 7681","6.25 6    ","UT 0047 UT 0114 ","17/31/20/1:0","DO ","","7383132 (Z355273) A313183","FILL SAND 0005 GREY LMSN 0047 GREY LMSN 0114 GREY LMSN 0120 "
"GOULBOURN TOWNSHIP CON  02 021","18 434281 5002180 W","2020-08 7681","6.23 6    ","UT 0082 UT 0006 ","15/18/20/1:","DO ","","7367075 (Z337546) A295271","SAND CLAY BLDR 0010 GREY LMSN 0082 GREY LMSN 0116 GREY LMSN 0122 "
"GOULBOURN TOWNSHIP CON  02 021","18 434187 5002366 W","2020-10 2558","6    ","UT 0034 UT 0040 UT 0067 ","19/22/10/1:","DO ","","7374274 (Z348914) A306910","CLAY 0003 GREY LMSN 0080 "
"GOULBOURN TOWNSHIP CON  02 021","18 434100 5002233 W","2021-07 7681","6.25 5.94 ","UT 0103 UT 0114 ","16/45/20/1:","DO ","","7395741 (Z364678) A320908","ROCK FCRD 0002 GREY LMSN 0103 GREY LMSN 0114 GREY LMSN 0120 "
"GOULBOURN TOWNSHIP CON  02 021","18 434183 5002179 W","2019-07 7681","6.25 5.94 ","UT 0062 UT 0074 ","18/20/20/1:0","DO ","","7340331 (Z302291) A274178","CLAY BLDR SNDY 0014 GREY LMSN 0062 GREY LMSN 0074 GREY LMSN 0083 "
"GOULBOURN TOWNSHIP CON  02 021","18 434214 5002421 W","2020-09 7681","6.25 6    ","UT 0114 UT 0126 ","16/20/20/1:0","DO ","","7372162 (Z344079) A305165","LOAM SNDY 0002 GREY LMSN 0114 GREY LMSN 0126 GREY LMSN 0133 "
"GOULBOURN TOWNSHIP CON  02 021","18 434209 5002297 W","2021-02 7681","6.25 6    ","UT 0037 UT 0053 UT 0072 ","16/20/20/1:0","DO ","","7383110 (Z355013) A313109","FILL 0007 GREY LMSN 0037 GREY LMSN 0053 GREY LMSN 0072 GREY LMSN 0080 "
"GOULBOURN TOWNSHIP CON  02 021","18 434257 5002228 W","2024-08 7681","","","","","","7486012 (Z394794) A401873 P",""
"GOULBOURN TOWNSHIP CON  02 021","18 433744 5002659 W","2008-12 1119","6    6    ","UT 0103 UT 0132 ","6/25/12/1:","DO "," ","7118438 (Z90246) A082448","GRVL 0008 LMSN 0111 GREY SNDS 0140 "
"GOULBOURN TOWNSHIP CON  02 021","18 434116 5002457 W","2006-10 1119","6.25 ","0095 0105 ","10/11/20/1:0","DO ","","1536839 (Z48694) A043459","LOAM 0002 LMSN 0115 "
"GOULBOURN TOWNSHIP CON  02 021","18 434102 5002485 W","2006-10 1119","6.25 ","0065 ","8/14/20/1:0","DO ","","1536838 (Z48693) A043474","LOAM 0003 LMSN 0080 "
"GOULBOURN TOWNSHIP CON  02 021","18 433919 5002601 W","2007-09 1558","6.23 ","UK 0088 UK 0125 ","9/25/10/1:0","DO ","","7051569 (Z60316) A065670","BRWN LOAM STNS PCKD 0008 GREY LMSN 0135 "
"GOULBOURN TOWNSHIP CON  02 021","18 433985 5002377 W","2005-08 1119","6.25 ","0089 0110 0112 ","17/19/35/1:0","DO ","","1535809 (Z30799) A028748","CLAY SNDY 0008 GREY LMSN 0120 "
"GOULBOURN TOWNSHIP CON  02 021","18 434046 5002519 W","2005-08 1119","6.25 ","0065 0114 ","10/18/20/1:0","DO ","","1535807 (Z30808) A028773","CLAY GRVL 0009 GREY LMSN 0120 "
"GOULBOURN TOWNSHIP CON  02 021","18 434316 5003216 W","2008-06 1558","6.23 ","UK 0113 ","4/88/12/1:","DO ","","7112986 (Z77377) A051525","BRWN LOAM SNDY LOOS 0004 BRWN HPAN PCKD 0011 GREY HPAN PCKD 0025 GREY LMSN MGRD PCKD 0123 "
"GOULBOURN TOWNSHIP CON  02 021","18 433844 5002517 W","2007-03 1119","6.25 ","0048 ","13/25/17/1:0","DO ","","7042559 (Z65015) A049717","FILL 0004 WHIT  QTZ 0048 LMSN 0060 "
"GOULBOURN TOWNSHIP CON  02 021","18 434233 5002146 W","2008-12 1119","6    6    ","","8/11/20/1:0","DO "," ","7121800 (Z94586) A082576","GRVL 0003 GREY LMSN 0100 "
"GOULBOURN TOWNSHIP CON  02 021","18 434185 5002278 W","2008-12 1119","6    6    ","UT 0035 UT 0046 UT 0073 ","11/25/12/1:0","DO "," ","7121799 (Z94585) A079389","GRVL 0004 GREY LMSN 0100 "
"GOULBOURN TOWNSHIP CON  02 021","18 433884 5002584 W","2007-09 1558","","","","","","7051559 (Z60334) _NO_TAG A",""
"GOULBOURN TOWNSHIP CON  02 021","18 434161 5002035 L","1994-10 3644","6    6    ","UK 0072 UK 0118 ","8/60/14/1:0","DO ","","1528262 (137508) ","GREY CLAY GRVL 0001 GREY LMSN 0123 "
"GOULBOURN TOWNSHIP CON  02 021","18 434161 5002035 L","1994-10 3644","6    6    ","UK 0057 ","18/50/20/1:0","DO ","","1528261 (137509) ","GREY CLAY GRVL 0001 GREY LMSN 0063 "
"GOULBOURN TOWNSHIP CON  02 021","18 434161 5002035 L","1994-10 3644","6    6    ","UK 0045 UK 0058 ","12/60/20/1:0","DO ","","1528264 (137507) ","GREY CLAY GRVL 0001 GREY LMSN 0063 "
"GOULBOURN TOWNSHIP CON  02 021","18 434015 5002546 W","2004-10 1558","6.23 ","0148 ","9/28/12/1:0","DO ","","1535150 (Z13832) A013776","BRWN LOAM STNS 0008 GREY HPAN 0012 GREY LMSN 0155 "
"GOULBOURN TOWNSHIP CON  02 021","18 433788 5002610 W","2001-12 1558","6    6    ","UK 0058 ","6/20/15/1:0","DO ","","1532513 (238067) ","BRWN SAND  DRY 0008 GREY SAND WBRG 0015 GREY HPAN PCKD 0030 GREY LMSN LYRD 0046 GREY LMSN HARD 0070 "
"GOULBOURN TOWNSHIP CON  02 021","18 433905 5002466 W","2004-07 1558","6.23 ","0040 0055 0114 ","13/18/10/1:","DO ","","1534950 (Z13703) A013707","BRWN CLAY STNS WBRG 0000 GREY LMSN HARD 0123 "
"GOULBOURN TOWNSHIP CON  02 021","18 433981 5002042 W","1971-07 3644","5    ","FR 0059 ","8/30/21/1:0","DO ","","1511438 () ","GREY CLAY GRVL 0002 GREY LMSN 0059 "
"GOULBOURN TOWNSHIP CON  02 021","18 433830 5002121 W","1980-06 3644","6    ","FR 0045 ","3/25/20/1:0","DO ","","1517386 () ","GREY SAND 0008 GREY CLAY 0020 GREY HPAN STNS 0028 GREY LMSN 0048 "
"GOULBOURN TOWNSHIP CON  02 021","18 434030 5002921 W","1980-06 3644","6    ","FR 0045 FR 0080 ","10/80/10/1:0","MN ","","1517321 () ","GREY SAND 0005 GREY LMSN 0084 "
"GOULBOURN TOWNSHIP CON  02 022","18 434454 5003060 W","2024-01 7328","","","","","","7471437 (Z424336)  A P",""
"GOULBOURN TOWNSHIP CON  02 022","18 434346 5003043 W","2024-08 4875","","","","","","7486758 (Z415655)  A P",""
"GOULBOURN TOWNSHIP CON  02 022","18 434619 5002432 L","2000-10 1558","6    6    5    ","UK 0144 UK 0236 ","5/50/25/1:","DO ","","1531495 (220957) ","BRWN SAND CLAY STNS 0012 GREY HPAN BLDR 0022 GREY SAND GRVL FCRD 0030 GREY LMSN 0150 GREY LMSN SNDS 0185 GREY SNDS 0241 "
"GOULBOURN TOWNSHIP CON  02 022","18 434623 5002432 L","1999-12 1558","6    6    ","UK 0038 UK 0061 ","5/50/12/1:0","DO ","","1531013 (208530) ","BRWN HPAN BLDR 0007 GREY LMSN LYRD 0014 GREY LMSN HARD 0075 "
"GOULBOURN TOWNSHIP CON  02 022","18 434623 5002431 L","1992-03 1558","6    6    ","FR 0033 ","12/20/10/1:0","DO ","","1526189 (113345) ","BRWN CLAY 0003 BRWN CLAY SNDY 0007 GREY LMSN 0075 "
"GOULBOURN TOWNSHIP CON  02 022","18 434623 5002431 L","1992-03 1558","6    6    ","UK 0033 UK 0069 ","10/30/6/1:","DO ","","1526190 (113346) ","BRWN CLAY BLDR PCKD 0008 GREY LMSN MGRD 0075 "
"GOULBOURN TOWNSHIP CON  02 022","18 435130 5002221 W","1983-09 3142","6    6    ","FR 0039 FR 0044 ","6/20/20/1:0","DO ","","1518537 () ","BRWN LOAM STNS LOOS 0003 GREY LMSN 0045 "
"GOULBOURN TOWNSHIP CON  02 022","18 435131 5002152 W","1952-01 3002","5    5    ","FR 0070 FR 0095 ","10/11/12/1:0","DO ","","1502395 () ","LOAM MSND BLDR 0006 BLUE LMSN 0100 "
