"SCREEN_ID","WELL_ID","PIPE_ID","Layer","Slot","SCRN_TOP_DEPTH","SCRN_END_DEPTH","SCRN_MATERIAL","SCRN_DEPTH_UOM","SCRN_DIAMETER_UOM","SCRN_DIAMETER"
1006586693,"7282931",1006586686,1,"10",1.83,4.88,"5","m","cm",11.43
1006586720,"7282933",1006586713,1,"10",1.47,4.57,"5","m","cm",4.82
1006586734,"7282934",1006586727,1,"10",1.47,4.57,"5","m","cm",4.82
1006603592,"7283503",1006603587,,,,,,"ft","inch",
1006605066,"7283524",1006605061,,,,,,"ft","inch",
1006605111,"7283525",1006605105,,,,,,"ft","inch",
1006605159,"7283526",1006605154,,,,,,"ft","inch",
1006605167,"7283527",1006605162,,,,,,"m","cm",
1006605190,"7283528",1006605185,,,,,,"ft","inch",
1006605202,"7283529",1006605193,,,,,,"ft","inch",
1006605599,"7283536",1006605594,1,"10",4.57,7.62,"5","m","cm",5.89
1006607029,"7283607",1006607023,,,,,,"ft","inch",
1006609090,"7283649",1006609076,,,,,,"ft","inch",
1006628690,"7284036",1006628685,,,,,,"m","cm",
1006628702,"7284037",1006628697,,,,,,"m","cm",
1006628714,"7284038",1006628709,,,,,,"m","cm",
1006628782,"7284041",1006628777,,,,,,"ft","inch",
1006628794,"7284042",1006628789,,,,,,"ft","inch",
1006628806,"7284043",1006628801,,,,,,"ft","inch",
1006628832,"7284044",1006628825,1,"10",50.00,60.00,"5","ft","inch",
1006628846,"7284045",1006628841,,,,,,"ft","inch",
1006630910,"7284046",1006630905,1,,,,"8","ft","inch",
1006630926,"7284047",1006630920,1,"10",31.50,41.50,"5","ft","inch",
1006631181,"7284048",1006631176,1,,3.00,8.00,,"ft","inch",
1006631246,"7284049",1006631241,1,,11.00,26.00,,"ft","inch",
1006631271,"7284050",1006631266,1,,2.00,17.00,,"ft","inch",
1006618594,"7284134",1006618584,,,,,,"ft","inch",
1006618990,"7284140",1006618985,1,,15.00,25.00,"5","ft","inch",2.00
1006619019,"7284141",1006619014,1,,5.00,15.00,"5","ft","inch",2.00
1006619028,"7284142",1006619023,1,,5.00,15.00,"5","ft","inch",2.00
1006619039,"7284143",1006619034,1,,23.00,33.00,"5","ft","inch",2.00
1006619062,"7284144",1006619057,1,,5.00,15.00,"5","ft","inch",2.00
1006623095,"7284233",1006623088,1,,,,,"ft","inch",
1006631412,"7284482",1006631407,,,,,,"ft","inch",
1006639051,"7284721",1006639042,1,"10",1.83,3.35,"5","m","cm",4.21
1006639109,"7284722",1006639101,1,".10",5.18,8.23,"5","m","cm",4.82
1006639157,"7284723",1006639149,1,"20",3.96,7.01,"5","m","cm",4.82
1006639175,"7284724",1006639167,1,"10",4.57,7.62,"5","m","cm",4.82
1006643265,"7284814",1006643258,1,"10",2.13,5.18,"5","m","cm",6.03
1006643333,"7284816",1006643326,1,"10",1.83,4.88,"5","m","cm",6.03
1006661410,"7285187",1006661400,,,,,,"m","cm",
1006661508,"7285189",1006661499,,,,,,"m","cm",
1006669922,"7285351",1006669906,,,,,,"ft","inch",
1006670181,"7285355",1006670168,,,,,,"ft","inch",
1006670559,"7285356",1006670544,,,,,,"ft","inch",
1006670629,"7285357",1006670619,,,,,,"ft","inch",
1006670699,"7285358",1006670688,,,,,,"ft","inch",
1006670776,"7285359",1006670763,,,,,,"ft","inch",
1006670995,"7285362",1006670972,,,,,,"ft","inch",
1006671074,"7285363",1006671061,,,,,,"ft","inch",
1006671147,"7285364",1006671134,,,,,,"ft","inch",
1006671463,"7285367",1006671451,,,,,,"ft","inch",
1006671535,"7285368",1006671524,,,,,,"ft","inch",
1006671678,"7285369",1006671673,,,,,,"ft","inch",
1006671738,"7285370",1006671723,,,,,,"ft","inch",
1006671830,"7285371",1006671819,,,,,,"ft","inch",
1006641103,"7285377",1006641090,,,,,,"ft","inch",
1006641219,"7285378",1006641214,,,,,,"ft","inch",
1006641420,"7285380",1006641407,,,,,,"ft","inch",
1006641537,"7285381",1006641522,,,,,,"ft","inch",
1006641631,"7285382",1006641615,,,,,,"ft","inch",
1006642031,"7285383",1006642017,,,,,,"ft","inch",
1006642895,"7285384",1006642883,,,,,,"ft","inch",
1006680163,"7285385",1006680148,,,,,,"ft","inch",
1006680207,"7285386",1006680195,,,,,,"ft","inch",
1006680265,"7285387",1006680251,,,,,,"ft","inch",
1006683689,"7285388",1006683678,,,,,,"ft","inch",
1006683725,"7285389",1006683720,,,,,,"ft","inch",
1006686261,"7285421",1006686249,,,,,,"ft","inch",
1006689988,"7285490",1006689983,1,,5.00,15.00,"5","ft","inch",2.00
1006689999,"7285491",1006689994,1,,5.00,15.00,"5","ft","inch",2.00
1006690010,"7285492",1006690005,1,,7.00,17.00,"5","ft","inch",2.00
1006690022,"7285493",1006690017,1,,17.00,27.00,"5","ft","inch",2.00
1006690033,"7285494",1006690028,1,,17.00,27.00,"5","m","cm",2.00
1006690126,"7285495",1006690121,1,,5.00,15.00,"5","m","cm",2.00
1006696077,"7285594",1006696067,,,,,,"m","cm",
1006696128,"7285595",1006696117,,,,,,"m","cm",
1006659611,"7285649",1006659599,,,,,,"m","cm",
1006662621,"7285664",1006662611,1,"1",0.00,3.00,"5","m","cm",34.00
1006662835,"7285667",1006662828,1,,,,"1","m","cm",32.00
1006688979,"7285672",1006688969,1,"1",3.00,6.00,"5","m","cm",34.00
1006689359,"7285678",1006689351,,,,,,"ft","inch",
1006689460,"7285679",1006689449,,,,,,"ft","inch",
1006690138,"7285691",1006690132,,,,,,"m","cm",
1006640923,"7285825",1006640912,,,,,,"m","cm",
1006646589,"7285944",1006646584,,,,,,"ft","inch",
1006668630,"7286293",1006668623,1,"10",4.00,9.00,"5","ft","inch",1.66
1006668658,"7286294",1006668651,1,"10",4.00,9.00,"5","ft","inch",1.05
1006668687,"7286295",1006668680,1,"10",4.00,9.00,"5","ft","inch",1.66
1006668744,"7286296",1006668738,1,"10",1.38,3.35,"5","m","cm",4.03
1006668839,"7286297",1006668832,1,"10",3.04,6.09,"5","m","cm",4.03
1006668854,"7286298",1006668847,1,"10",4.26,7.30,"5","m","cm",4.03
1006675493,"7286402",1006675486,1,"10",1.50,4.57,"5","m","cm",6.03
1006675535,"7286403",1006675528,1,"10",1.50,4.57,"5","m","cm",6.03
1006675565,"7286404",1006675558,1,"10",1.50,4.57,"5","m","cm",6.03
1006675619,"7286405",1006675612,1,"10",1.50,4.57,"5","m","cm",6.03
1006675784,"7286408",1006675777,1,"10",5.00,10.00,"5","ft","inch",1.68
1006680097,"7286468",1006680090,1,"10",1.06,2.59,"5","m","cm",6.03
1006680245,"7286469",1006680239,1,"10",0.76,1.98,"5","m","cm",6.03
1006680303,"7286470",1006680297,1,"10",0.91,1.52,"5","m","cm",6.03
1006680315,"7286471",1006680309,1,"10",1.06,1.68,"5","m","cm",6.03
1006680327,"7286472",1006680321,1,"10",0.45,1.06,"5","m","cm",6.03
1006680508,"7286481",1006680501,1,"10",3.10,6.10,"5","m","cm",4.82
1006680545,"7286482",1006680538,1,"10",3.10,6.10,"5","m","cm",4.82
1006681705,"7286574",1006681699,1,"10",1.22,4.27,"5","m","cm",4.82
1006681718,"7286575",1006681712,1,"10",1.22,4.27,"5","m","cm",4.82
1006703525,"7286702",1006703514,,,,,,"ft","inch",
1006704351,"7286758",1006704346,,,,,,"ft","inch",
1006704471,"7286783",1006704466,,,,,,"ft","inch",
1006704480,"7286784",1006704475,,,,,,"ft","inch",
1006704490,"7286785",1006704485,,,,,,"ft","inch",
1006704502,"7286786",1006704497,,,,,,"ft","inch",
1006704513,"7286787",1006704508,,,,,,"ft","inch",
1006704525,"7286788",1006704520,,,,,,"ft","inch",
1006704537,"7286789",1006704532,,,,,,"ft","inch",
1006704548,"7286790",1006704543,,,,,,"ft","inch",
1006721245,"7286791",1006721239,,,,,,"ft","inch",
1006721267,"7286792",1006721262,,,,,,"ft","inch",
1006721328,"7286793",1006721323,,,,,,"ft","inch",
1006721388,"7286794",1006721383,,,,,,"ft","inch",
1006721401,"7286795",1006721396,,,,,,"ft","inch",
1006721426,"7286796",1006721421,,,,,,"ft","inch",
1006721453,"7286797",1006721448,,,,,,"ft","inch",
1006721475,"7286798",1006721470,,,,,,"ft","inch",
1006721493,"7286801",1006721488,,,,,,"ft","inch",
1006721514,"7286802",1006721509,,,,,,"ft","inch",
1006721586,"7286803",1006721581,,,,,,"ft","inch",
1006721626,"7286804",1006721621,,,,,,"ft","inch",
1006721760,"7286805",1006721755,,,,,,"ft","inch",
1006721769,"7286806",1006721764,,,,,,"ft","inch",
1006721778,"7286807",1006721773,,,,,,"ft","inch",
1006721837,"7286808",1006721832,,,,,,"ft","inch",
1006723181,"7286809",1006723176,,,,,,"ft","inch",
1006723290,"7286810",1006723285,,,,,,"ft","inch",
1006723318,"7286811",1006723313,,,,,,"ft","inch",
1006723333,"7286812",1006723328,,,,,,"ft","inch",
1006723354,"7286813",1006723349,,,,,,"ft","inch",
1006723363,"7286814",1006723358,,,,,,"ft","inch",
1006723402,"7286815",1006723397,,,,,,"ft","inch",
1006723615,"7286816",1006723610,,,,,,"ft","inch",
1006723623,"7286817",1006723618,,,,,,"ft","inch",
1006723631,"7286818",1006723626,,,,,,"ft","inch",
1006723685,"7286819",1006723680,,,,,,"ft","inch",
1006727144,"7286823",1006727139,,,,,,"ft","inch",
1006727162,"7286824",1006727157,,,,,,"ft","inch",
1006727212,"7286825",1006727207,,,,,,"ft","inch",
1006727268,"7286826",1006727263,,,,,,"ft","inch",
1006727328,"7286827",1006727323,,,,,,"ft","inch",
1006727376,"7286828",1006727371,,,,,,"ft","inch",
1006727384,"7286829",1006727379,,,,,,"ft","inch",
1006727393,"7286830",1006727388,,,,,,"ft","inch",
1006727402,"7286831",1006727397,,,,,,"ft","inch",
1006727410,"7286832",1006727405,,,,,,"ft","inch",
1006746429,"7286899",1006746417,,,,,,"m","cm",
1006746498,"7286900",1006746489,,,,,,"m","cm",
1006746618,"7286901",1006746607,,,,,,"m","cm",
1006749433,"7287107",1006749428,,,,,,"m","cm",
1006749517,"7287110",1006749508,,,,,,"m","cm",
1006749611,"7287111",1006749602,,,,,,"m","cm",
1006749700,"7287112",1006749690,,,,,,"m","cm",
1006749904,"7287114",1006749890,,,,,,"m","cm",
1006749951,"7287115",1006749940,,,,,,"m","cm",
1006749992,"7287116",1006749980,,,,,,"m","cm",
1006750074,"7287117",1006750064,,,,,,"m","cm",
1006750159,"7287118",1006750148,,,,,,"m","cm",
1006750244,"7287119",1006750233,,,,,,"m","cm",
1006750279,"7287120",1006750274,,,,,,"m","cm",
1006750337,"7287121",1006750326,,,,,,"m","cm",
1006750424,"7287122",1006750411,,,,,,"m","cm",
1006752480,"7287146",1006752468,,,,,,"m","cm",
1006752565,"7287148",1006752551,,,,,,"m","cm",
1006752603,"7287149",1006752598,,,,,,"m","cm",
1006752629,"7287150",1006752618,,,,,,"m","cm",
1006752696,"7287151",1006752683,,,,,,"m","cm",
1006752745,"7287152",1006752734,,,,,,"m","cm",
1006752787,"7287153",1006752775,,,,,,"m","cm",
1006752827,"7287154",1006752817,,,,,,"m","cm",
1006752905,"7287155",1006752895,,,,,,"m","cm",
1006752989,"7287157",1006752976,,,,,,"m","cm",
1006753042,"7287158",1006753037,,,,,,"m","cm",
1006740549,"7287159",1006740538,,,,,,"m","cm",
1006740564,"7287160",1006740553,,,,,,"m","cm",
1006740599,"7287161",1006740594,,,,,,"m","cm",
1006740681,"7287164",1006740672,,,,,,"m","cm",
1006740715,"7287165",1006740704,,,,,,"m","cm",
1006740750,"7287166",1006740745,,,,,,"m","cm",
1006740765,"7287167",1006740753,,,,,,"m","cm",
1006740807,"7287168",1006740795,,,,,,"m","cm",
1006740847,"7287169",1006740837,,,,,,"m","cm",
1006741054,"7287175",1006741043,,,,,,"m","cm",
1006742330,"7287203",1006742325,,,,,,"ft","inch",
1006742340,"7287204",1006742333,1,"12",56.00,60.00,"1","ft","inch",5.00
1006754407,"7287295",1006754396,,,,,,"m","cm",
1006675517,"7287579",1006675512,,,,,,"ft","inch",
1006677185,"7287580",1006677180,,,,,,"ft","inch",
1006677224,"7287581",1006677219,,,,,,"ft","inch",
1006677232,"7287582",1006677227,,,,,,"ft","inch",
1006677240,"7287583",1006677235,,,,,,"ft","inch",
1006677260,"7287584",1006677253,,,,,,"ft","inch",
1006677280,"7287585",1006677275,,,,,,"ft","inch",
1006677291,"7287586",1006677286,,,,,,"ft","inch",
1006702967,"7287758",1006702959,,,,,,"m","cm",
1006703373,"7287760",1006703364,,,,,,"m","cm",
1006703417,"7287761",1006703411,,,,,,"m","cm",
1006736463,"7287781",1006736458,1,,3.80,5.30,"5","ft","inch",2.00
1006736681,"7287782",1006736672,1,,154.00,164.00,"5","ft","inch",1.25
1006740494,"7287850",1006740489,,,,,,"ft","inch",
1006741873,"7287851",1006741868,,,,,,"ft","inch",
1006741882,"7287852",1006741877,,,,,,"ft","inch",
1006741898,"7287853",1006741893,,,,,,"ft","inch",
1006741929,"7287854",1006741924,,,,,,"ft","inch",
1006742013,"7287856",1006742000,,,,,,"ft","inch",
1006742382,"7287858",1006742370,,,,,,"ft","inch",
1006742552,"7287861",1006742541,,,,,,"ft","inch",
1006742585,"7287862",1006742573,,,,,,"ft","inch",
