WEATHERLOC,n_evaluations,top_prov,map_name,map_prov,matched_via,lat,lon,HDD_18C,design_heating_db_C,design_cooling_db_C,design_cooling_wb_C
"SWAN RIVER,MANITOBA",43,MB,SWAN RIVER,MB,exact,52.11,-101.23001136860454,5972.0,-32.1,29.0,21.6
"SUFFIELD,ALBERTA",43,AB,MEDICINE HAT,AB,proxy:~40 km,50.03,-110.72001324256695,4508.0,-28.1,33.0,19.3
"WATSON LAKE,YUKON",41,YK,WATSON LAKE,YT,exact,60.12,-128.82002083938775,7199.0,-43.5,25.7,16.1
"HUDSON BAY,SASKATCHEWAN",41,SK,HUDSON BAY,SK,exact,52.82,-102.32001186213213,6124.0,-33.1,28.7,21.2
"MACKENZIE,BRITISH COLUMBIA",41,BC,MACKENZIE,BC,exact,55.3,-123.1300174758714,5387.0,-29.3,27.6,17.0
"SCOTT,SASKATCHEWAN",38,SK,SCOTT,SK,exact,52.36,-108.83001343335052,5824.0,-32.1,28.8,20.2
"ATIKOKAN,ONTARIO",37,ON,ATIKOKAN,ON,exact,48.76,-91.6300078519845,5616.0,-33.0,28.9,21.9
"BURWASH,YUKON",37,YK,BURWASH,YT,exact,61.37,-139.04002281686473,7672.0,-40.5,22.4,14.4
"RESOLUTE,NUNAVUT",36,NU,RESOLUTE BAY,NU,prefix,74.72,-94.97002432715381,11759.0,-38.6,13.9,9.9
"NORMAN WELLS,NORTHWEST TERRITORIES",36,NT,NORMAN WELLS,NT,exact,65.28,-126.80002442731468,8231.0,-42.1,26.8,18.0
"WAWA,ONTARIO",35,ON,WAWA,ON,exact,47.97,-84.79000559147099,5605.0,-30.6,24.6,19.9
"KINDERSLEY,SASKATCHEWAN",33,SK,KINDERSLEY,SK,exact,51.52,-109.18001327884211,5490.0,-31.2,30.2,20.3
"LAC BENOIT,QUEBEC",33,QC,LAC BENOIT,QC,exact,51.53,-71.11000129905376,7333.0,-40.5,25.5,18.5
"DAWSON CITY,YUKON TERRITORY",33,YK,DAWSON,YT,alias:same station,64.06,-139.13002495295243,7917.0,-48.0,25.8,15.8
"LEADER AIRPORT,SASKATCHEWAN",31,SK,LEADER AIRPORT,SK,exact,50.91,-109.50001318896315,5157.0,-31.3,31.9,19.9
"PUKASKWA,ONTARIO",29,ON,PUKASKWA,ON,exact,48.61,-86.29000616277817,5553.0,-28.5,22.7,18.9
"LA SCIE,NEWFOUNDLAND AND LABRADOR",29,,LA SCIE,NL,exact,49.92,-55.66999553600719,5309.0,-17.7,26.1,20.0
"BAKER LAKE,NUNAVUT",29,NU,BAKER LAKE,NU,exact,64.3,-96.08001444264129,10235.0,-39.7,22.4,15.4
"WASKESIU LAKE,SASKATCHEWAN",29,SK,WASKESIU LAKE,SK,exact,53.92,-106.0700132031999,6007.0,-31.9,27.3,19.4
"POINTE-AU-PÃ RE,QUEBEC",29,QC,POINTE-AU-PÈRE,QC,alias:encoding-corrupt,48.51,-68.47000010089654,5205.0,-22.0,22.7,19.8
"HAVRE ST-PIERRE,QUEBEC",28,QC,HAVRE ST-PIERRE,QC,exact,50.28,-63.60999845519212,5860.0,-26.7,22.6,18.3
"POSTE DE LA BALEINE,QUEBEC",27,QC,KUUJJUARAPIK,QC,alias:renamed station,55.28,-77.77000426876073,7577.0,-34.1,24.5,17.7
"KUUJJUAQ,QUEBEC",27,QC,KUUJJUAQ,QC,exact,58.09,-68.42000095699946,8022.0,-34.4,24.2,17.7
"NORWAY HOUSE,MANITOBA",27,MB,NORWAY HOUSE,MB,exact,53.96,-97.85001087669926,6625.0,-35.0,27.5,20.5
"NAGAGAMI,ONTARIO",27,ON,NAGAGAMI,ON,exact,49.75,-84.16000563962993,6217.0,-34.7,28.5,21.4
"OUTLOOK,SASKATCHEWAN",26,SK,OUTLOOK,SK,exact,51.48,-107.05001274582602,5270.0,-29.7,29.9,21.3
"OLD CROW,YUKON",26,YK,OLD CROW,YT,exact,67.57,-139.84002866062878,9247.0,-47.3,24.7,16.3
"FORT SMITH,NORTHWEST TERRITORY",25,NT,FORT SMITH,NT,name-only,60.02,-111.96001726933967,7037.0,-36.7,27.8,18.6
"NATASHQUAN,QUEBEC",24,QC,NATASHQUAN,QC,exact,50.19,-61.809997791299075,5757.0,-26.6,22.2,18.3
"POINTE-DES-MONTS,QUEBEC",23,QC,POINTE-DES-MONTS,QC,exact,49.32,-67.37999976713508,5594.0,-24.0,19.6,17.3
"RIVIERE-DU-LOUP,NEW BRUNSWICK",22,NB,RIVIERE-DU-LOUP,QC,name-only,47.81,-69.5500004317531,5212.0,-24.1,25.7,21.1
"ÎLE AUX PERROQUETS,QUEBEC",22,QC,ÎLE AUX PERROQUETS,QC,exact,50.22,-64.2099986726071,5798.0,-21.6,17.0,15.7
"INUVIK,NORTHWEST TERRITORY",22,NT,INUVIK,NT,name-only,68.3,-133.48002886650977,9003.0,-38.3,25.3,17.4
"LA POCATIÃ RE,QUEBEC",20,QC,LA POCATIÈRE,QC,alias:encoding-corrupt,47.36,-70.03000056681536,4894.0,-23.1,27.5,22.4
"ELBOW,SASKATCHEWAN",20,SK,ELBOW ,SK,exact,51.13,-106.58001253565496,5431.0,-30.9,30.6,21.0
"ST. JOHN'S,NEWFOUNDLAND AND LABRADOR",20,,ST-JOHN'S INTL,NL,prefix,47.62,-52.74999448585086,4578.0,-12.8,25.1,20.8
"LUCKY LAKE,SASKATCHEWAN",19,SK,LUCKY LAKE,SK,exact,50.95,-107.15001263173413,5320.0,-29.9,30.0,21.5
"BANFF,BRITISH COLUMBIA",18,BC,BANFF,AB,name-only,51.19,-115.55001460452084,5565.0,-28.4,27.9,15.3
"MAPLE CREEK,SASKATCHEWAN",17,SK,MAPLE CREEK,SK,exact,49.9,-109.47001292209492,4716.0,-28.9,32.3,20.1
"GASPÃ ,QUEBEC",15,QC,GASPÉ,QC,prefix,48.78,-64.47999869448287,5263.0,-23.8,27.2,20.8
"WRECKHOUSE,NEWFOUNDLAND AND LABRADOR",14,,WRECKHOUSE,NL,exact,47.71,-59.30999680954366,4477.0,-11.6,23.3,20.6
"GOOSE BAY,NEWFOUNDLAND",14,,GOOSE,NL,contains,53.32,-60.41999738932218,6348.0,-29.3,27.5,18.8
"FLIN FLON,MANITOBA",14,MB,FLIN FLON,MB,exact,54.68,-101.68001222416795,6510.0,-34.5,28.4,20.3
"SARTINE ISLAND,BRITISH COLUMBIA",14,BC,SARTINE ISLAND,BC,exact,50.82,-128.91001672456,3379.0,0.2,15.3,14.4
"SABLE ISLAND,NOVA SCOTIA",13,NS,SABLE ISLAND,NS,exact,43.95,-59.95999693800275,3526.0,-8.1,21.0,19.7
"NORMAN WELLS,NORTHWEST TERRITORY",13,NT,NORMAN WELLS,NT,name-only,65.28,-126.80002442731468,8231.0,-42.1,26.8,18.0
"ESTHER,ALBERTA",11,AB,ESTHER,AB,exact,51.67,-110.21001356515332,5302.0,-30.5,31.4,20.8
