WEATHERLOC,n_evaluations,top_prov,map_name,map_prov,matched_via,lat,lon,HDD_18C,design_heating_db_C,design_cooling_db_C,design_cooling_wb_C
"COLLINGWOOD,ONTARIO",13074,ON,COLLINGWOOD,ON,exact,44.5,-80.22000372893781,3908.0,-18.5,29.5,23.1
"YARMOUTH,NOVA SCOTIA",12580,NS,YARMOUTH,NS,exact,43.83,-66.0899990131733,3820.0,-13.6,23.2,20.4
"CHATHAM,NEW BRUNSWICK",12237,NB,BATHURST,NB,"proxy:Miramichi area, ~70 km",47.63,-65.73999908211024,4979.0,-24.1,29.0,22.0
"ST-JOVITE,QUEBEC",11845,QC,ST-JOVITE,QC,exact,46.08,-74.56000201378569,5103.0,-30.6,28.6,22.2
"PRINCE ALBERT,SASKATCHEWAN",11835,SK,PRINCE ALBERT,SK,exact,53.21,-105.6700128815757,6010.0,-33.6,28.2,21.0
"LETHBRIDGE,ALBERTA",11805,AB,LETHBRIDGE,AB,exact,49.7,-112.77001361230921,4274.0,-26.1,31.6,19.8
"NORTH BAY,ONTARIO",10784,ON,NORTH BAY,ON,exact,46.36,-79.42000365441932,5001.0,-27.8,27.5,21.6
"STE-ANNE-DE-BELLEVUE,QUEBEC",10540,QC,STE-ANNE-DE-BELLEVUE,QC,exact,45.43,-73.93000175040817,4281.0,-24.0,29.4,23.4
"ENTRANCE ISLAND,BRITISH COLUMBIA",10338,BC,ENTRANCE ISLAND,BC,exact,49.21,-123.81001553550739,2572.0,0.0,23.5,19.7
"MONTREAL MIRABEL,QUEBEC",10147,QC,MONTRÉAL MIRABEL  INTL,QC,prefix,45.68,-74.03000180329269,4569.0,-25.9,29.2,23.2
"SAULT STE. MARIE,ONTARIO",10092,ON,SAULT STE MARIE,ON,exact,46.49,-84.51000530974812,4765.0,-24.0,28.3,22.2
"ST-ANICET,QUEBEC",9831,QC,ST-ANICET,QC,exact,45.12,-74.2900018463862,4296.0,-24.9,30.1,24.2
"KELOWNA,BRITISH COLUMBIA",9787,BC,KELOWNA,BC,exact,49.96,-119.38001499593297,3715.0,-16.1,33.7,19.3
"PRINCE GEORGE,BRITISH COLUMBIA",9680,BC,PRINCE GEORGE,BC,exact,53.89,-122.6700168421051,4965.0,-27.8,28.0,17.3
"JONQUIÈRE,QUEBEC",9680,QC,JONQUIÈRE,QC,exact,48.43,-71.14000103587153,5343.0,-28.9,27.8,21.5
"STE-AGATHE-DES-MONTS,QUEBEC",9167,QC,ST-JOVITE,QC,"proxy:~25 km, Laurentians",46.08,-74.56000201378569,5103.0,-30.6,28.6,22.2
"SUMMERSIDE,PRINCE EDWARD ISLAND",8965,PE,SUMMERSIDE,PE,exact,46.44,-63.839998358777535,4378.0,-19.6,26.5,21.7
"ST. JOHN'S,NEWFOUNDLAND",8569,,ST-JOHN'S INTL,NL,prefix,47.62,-52.74999448585086,4578.0,-12.8,25.1,20.8
"RIVIERE-DU-LOUP,QUEBEC",8475,QC,RIVIERE-DU-LOUP,QC,exact,47.81,-69.5500004317531,5212.0,-24.1,25.7,21.1
"PORT WELLER,ONTARIO",8347,ON,PORT WELLER,ON,exact,43.25,-79.2200032967584,3347.0,-13.0,29.5,24.3
"ERIEAU,ONTARIO",8155,ON,ERIEAU,ON,exact,42.25,-81.90000405148666,3419.0,-14.4,27.4,24.8
"SASKATOON INTL,SASKATCHEWAN",8135,SK,SASKATOON INTL,SK,exact,52.17,-106.70001284814377,5695.0,-32.5,29.6,21.3
"DESCHAMBAULT,QUEBEC",7645,QC,DESCHAMBAULT,QC,exact,46.69,-71.97000118520813,5050.0,-28.8,28.5,23.3
"MEDICINE HAT,ALBERTA",7493,AB,MEDICINE HAT,AB,exact,50.03,-110.72001324256695,4508.0,-28.1,33.0,19.3
"SHERINGHAM POINT,BRITISH COLUMBIA",7060,BC,SHERINGHAM POINT,BC,exact,48.38,-123.9200153338901,2942.0,0.1,19.7,17.1
"POINT PETRE,ONTARIO",6793,ON,POINT PETRE ,ON,exact,43.83,-77.15000268156899,3836.0,-19.9,25.9,23.1
"L'ACADIE,QUEBEC",6772,QC,L'ACADIE,QC,exact,45.29,-73.35000154557535,4275.0,-24.0,29.4,23.6
"VICTORIA UNIVERSITY,BRITISH COLUMBIA",6760,BC,VICTORIA UNIVERSITY,BC,exact,48.46,-123.3000152580048,2674.0,-1.1,26.6,19.2
"CRANBROOK,BRITISH COLUMBIA",6454,BC,CRANBROOK,BC,exact,49.61,-115.78001421521915,4396.0,-22.0,32.2,17.9
"MOOSE JAW,SASKATCHEWAN",6363,SK,MOOSE JAW,SK,exact,50.33,-105.54001207151518,5242.0,-30.0,30.7,21.9
"CASTLEGAR,BRITISH COLUMBIA",6082,BC,NELSON,BC,"proxy:~40 km, Kootenay valley",49.49,-117.31001448319451,3482.0,-11.2,32.8,20.6
"VICTORIA INTL,BRITISH COLUMBIA",6000,BC,VICTORIA INTL,BC,exact,48.65,-123.43001532805579,2858.0,-2.9,26.2,18.1
"WHITEHORSE,YUKON",5901,YK,WHITEHORSE,YT,exact,60.71,-135.07002200968327,6522.0,-36.4,23.9,14.9
"PETERBOROUGH,ONTARIO",5710,ON,PETERBOROUGH,ON,exact,44.23,-78.36000310701624,4268.0,-23.3,30.0,23.5
"VAL D'OR,QUEBEC",5681,QC,VAL-D'OR,QC,exact,48.06,-77.79000329170246,5782.0,-31.9,28.1,21.2
"MOUNT FOREST,ONTARIO",5650,ON,MOUNT FOREST,ON,exact,43.98,-80.75000384895993,4331.0,-20.3,28.5,22.6
"BRANDON,MANITOBA",5001,MB,BRANDON,MB,exact,49.91,-99.95001049350903,5758.0,-32.3,29.2,22.5
"LAGOON CITY,ONTARIO",4897,ON,LAGOON CITY,ON,exact,44.55,-79.22000341205593,4242.0,-23.5,28.2,24.4
"POINTE-AU-PÈRE,QUEBEC",4833,QC,POINTE-AU-PÈRE,QC,exact,48.51,-68.47000010089654,5205.0,-22.0,22.7,19.8
"GODERICH,ONTARIO",4833,ON,GODERICH,ON,exact,43.77,-81.72000413456253,3839.0,-16.5,27.8,23.5
"FRELIGHSBURG,QUEBEC",4830,QC,FRELIGHSBURG,QC,exact,45.03,-72.85000135906152,4253.0,-24.7,28.8,23.2
"YORKTON,SASKATCHEWAN",4760,SK,YORKTON,SK,exact,51.26,-102.46001149271497,5800.0,-31.8,28.8,21.7
"SWIFT CURRENT,SASKATCHEWAN",4750,SK,SWIFT CURRENT,SK,exact,50.29,-107.69001259581815,5104.0,-29.2,30.7,20.3
"RED DEER,ALBERTA",4724,AB,RED DEER REGIONAL,AB,prefix,52.18,-113.89001454954396,5515.0,-28.9,27.8,19.4
"ESQUIMALT HARBOUR,BRITISH COLUMBIA",4709,BC,ESQUIMALT HARBOUR,BC,exact,48.43,-123.44001527321244,2900.0,-1.2,21.5,16.5
"NORTH BATTLEFORD,SASKATCHEWAN",4703,SK,NORTH BATTLEFORD,SK,exact,52.77,-108.24001340886166,5754.0,-31.7,28.7,20.7
"BAS CARAQUET,NEW BRUNSWICK",4272,NB,BAS CARAQUET,NB,exact,47.8,-64.82999876912822,4756.0,-20.6,27.0,21.9
"TIMMINS,ONTARIO",4192,ON,TIMMINS,ON,exact,48.57,-81.3800045555948,5826.0,-32.2,28.9,21.3
"REGINA INTL,SASKATCHEWAN",4146,SK,REGINA INTL,SK,exact,50.43,-104.6700118738994,5597.0,-32.4,30.3,22.1
"WHITE ROCK,BRITISH COLUMBIA",3812,BC,WHITE ROCK,BC,exact,49.02,-122.78001532227063,2644.0,-4.0,24.5,19.6
"LA POCATIÈRE,QUEBEC",3795,QC,LA POCATIÈRE,QC,exact,47.36,-70.03000056681536,4894.0,-23.1,27.5,22.4
"GANDER,NEWFOUNDLAND",3338,,GANDER INTL,NL,prefix,48.94,-54.56999513216569,4861.0,-16.2,26.8,20.7
"SISTERS ISLAND,BRITISH COLUMBIA",3213,BC,SISTERS ISLAND,BC,exact,49.49,-124.43001570784331,2568.0,0.3,23.5,19.2
"AMQUI,QUEBEC",3195,QC,AMQUI,QC,exact,48.47,-67.4299997292721,5404.0,-26.8,27.4,20.8
"ESTEVAN,SASKATCHEWAN",3190,SK,ESTEVAN,SK,exact,49.21,-102.97001115320764,5349.0,-31.4,30.4,22.0
"RED DEER REGIONAL,ALBERTA",3188,AB,RED DEER REGIONAL,AB,exact,52.18,-113.89001454954396,5515.0,-28.9,27.8,19.4
"CAP-TOURMENTE,QUEBEC",2813,QC,CAP-TOURMENTE,QC,exact,47.08,-70.78000080557496,4658.0,-23.9,27.9,22.8
"NORMANDIN,QUEBEC",2808,QC,NORMANDIN,QC,exact,48.84,-72.55000156376308,5937.0,-33.4,27.4,21.6
"SAULT STE MARIE,ONTARIO",2777,ON,SAULT STE MARIE,ON,exact,46.49,-84.51000530974812,4765.0,-24.0,28.3,22.2
"GRANDE PRAIRIE,ALBERTA",2736,AB,GRANDE PRAIRIE,AB,exact,55.18,-118.88001663732247,5717.0,-33.4,27.2,18.1
"MALAHAT,BRITISH COLUMBIA",2684,BC,MALAHAT,BC,exact,48.57,-123.53001532320678,3144.0,-4.0,27.3,21.2
"VERNON,BRITISH COLUMBIA",2651,BC,VERNON,BC,exact,50.22,-119.19001503394746,3671.0,-16.5,33.2,19.8
"TERRACE,BRITISH COLUMBIA",2638,BC,TERRACE,BC,exact,54.47,-128.5800179783358,4205.0,-16.7,27.6,17.9
"KEJIMKUJIK,NOVA SCOTIA",2503,NS,KEJIMKUJIK,NS,exact,44.4,-65.19999873721176,4049.0,-17.5,28.6,22.6
"VICTORIA GONZALES,BRITISH COLUMBIA",2448,BC,VICTORIA GONZALES,BC,exact,48.41,-123.32001524919549,2763.0,-1.3,22.8,17.4
"MANIWAKI AIRPORT,QUEBEC",2347,QC,MANIWAKI AIRPORT,QC,exact,46.27,-75.99000250979223,4908.0,-28.1,29.2,22.6
"WEST VANCOUVER,BRITISH COLUMBIA",2333,BC,WEST VANCOUVER,BC,exact,49.35,-123.19001547683379,2823.0,-4.2,27.1,20.6
